ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Data|N_Years|EarliestLiveDate|LatestLiveDate|LastSampleDate|Mean|Median
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|16|5|1621|1993|2018-10-03T22:39:30Z|85.545625|82.77
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1460|10|1621|2002|2018-10-03T22:39:30Z|37.7455616438356|35.435
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|21|3|2013|2016|2016-11-15T00:00:00Z|87.0952380952381|84
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|256|4|2013|2017|2017-08-29T00:00:00Z|42.195703125|40
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|67|12|1581|2011|2018-10-03T22:39:30Z|84.5368656716418|82.41
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|2620|18|1581|2011|2018-10-03T22:39:30Z|39.6286297709924|36.905
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|36|4|2013|2017|2017-08-29T00:00:00Z|86.2111111111111|84
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|723|5|2013|2019|2019-12-17T00:00:00Z|39.5919778699862|38
Big Bend Seagrasses Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|159|9|1959|2011|2018-10-05T20:54:58Z|88.6747169811321|85.02
Big Bend Seagrasses Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|2012|9|1959|2011|2018-10-05T20:54:58Z|39.5530715705765|35.845
Boca Ciega Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|9|2|2017|2018|2018-12-31T00:00:00Z|80.3333333333333|80
Boca Ciega Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|701|2|2017|2018|2018-12-31T00:00:00Z|39.981455064194|39
Estero Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|332|23|1970|2013|2018-10-30T18:58:41Z|85.6267469879518|82.875
Estero Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|6086|24|1970|2013|2018-10-30T18:58:41Z|41.5073923759448|38.3
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|66|8|2014|2022|2022-02-01T00:00:00Z|83.8018181818182|81.75
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|47|1|2020|2020|2020-03-04T00:00:00Z|83.3931914893617|80.4
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|2841|9|2014|2022|2022-02-01T00:00:00Z|41.5363393171419|39.63
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|824|1|2020|2020|2020-03-04T00:00:00Z|42.592572815534|40.34
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|600|8|1998|2012|2018-09-11T22:25:14Z|93.6535833333333|90.715
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1138|8|1998|2012|2018-09-11T22:25:14Z|49.0657908611599|48.35
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|1821|5|2014|2020|2020-02-17T00:00:00Z|89.0912520593081|85.6
