AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Years|SufficientData|EarliestLiveDate|LatestLiveDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs|Intercept|ModelEstimate|StandardError|LowerConfidence|UpperConfidence
2|Apalachicola Bay Aquatic Preserve|Density|Live Oyster Shells||Natural|6|TRUE|2010|2016|2016-11-16T00:00:00Z|235|0|990|1|39.6553191489362|120.494974198328|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073|14.1386701038231|-0.262146375101199|0.0954748489313628|-0.445235475|-0.078232595
2|Apalachicola Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2018|2023|2023-02-09T00:00:00Z|139|0|37|0|3.92086330935252|7.03723507566472|Apalachicola Intertidal Oyster Project|5010|||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|5|TRUE|1621|1993|2018-10-03T22:39:30Z|16|75.94|106.17|82.77|85.545625|8.68893546893596|Historical Oyster Body Size (HOBS) Study|5035|79.0509084932534|-13.2311236991353|31.7773987831628|-120.405425|6.21979199999991
2|Apalachicola Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|10|TRUE|1621|2002|2018-10-03T22:39:30Z|1460|25|74.6|35.435|37.7455616438356|10.1468715619389|Historical Oyster Body Size (HOBS) Study|5035|||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|10|TRUE|1621|2002|2018-10-03T22:39:30Z|488|7.55|24.98|21.82|21.3472336065574|3.01121564179892|Historical Oyster Body Size (HOBS) Study|5035|||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|3|FALSE|2013|2016|2016-11-15T00:00:00Z|21|75|133|84|87.0952380952381|13.4532700928241|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073|||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|4|FALSE|2013|2017|2017-08-29T00:00:00Z|256|25|74|40|42.195703125|11.7769141524704|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5063, 5071, 5073|||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|4|FALSE|2013|2017|2017-08-29T00:00:00Z|437|2|24|15|14.1183066361556|5.02974490637346|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5063, 5071, 5073|||||
3|Apalachicola National Estuarine Research Reserve|Density|Live Oyster Shells||Natural|7|TRUE|2010|2019|2019-12-16T00:00:00Z|367|0|2670|1|114.098092643052|344.985690954806|Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073, 5075|12.0098119182909|-0.196205947698913|0.0722353108325658|-0.343942|-0.0537725650000001
3|Apalachicola National Estuarine Research Reserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2018|2023|2023-02-09T00:00:00Z|237|0|59|3|6.31645569620253|9.51120343460868|Apalachicola Intertidal Oyster Project|5010|||||
