AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|1|Turbidity|bottom|2002-01-01T00:00:00Z|2023-01-31T23:45:00Z|47800|0|514|8|17.3673849372385|29.9992012812764
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2|Turbidity|bottom|2002-02-01T00:00:00Z|2023-02-24T01:30:00Z|42613|0|820|9|19.4875038133903|31.8705803486919
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|3|Turbidity|bottom|2002-03-01T00:00:00Z|2022-03-31T23:45:00Z|46584|0|904|12|22.7091919972523|32.649005631512
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|4|Turbidity|bottom|2002-04-01T00:00:00Z|2022-04-30T23:45:00Z|47608|0|1803|14|26.3657158460763|42.693028443798
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|5|Turbidity|bottom|2002-05-07T09:00:00Z|2022-05-31T23:45:00Z|44330|0|643|12|19.4109857884051|23.5431428300793
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|6|Turbidity|bottom|2002-06-07T10:00:00Z|2022-06-30T23:45:00Z|44928|0|998|11|16.7341079059829|36.0838927152729
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|7|Turbidity|bottom|2002-07-01T00:00:00Z|2022-07-31T23:45:00Z|44872|0|675|10|13.900851310394|15.7664459554746
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|8|Turbidity|bottom|2002-08-01T09:30:00Z|2022-08-31T23:45:00Z|48165|0|1036|10|16.134765908855|25.6858695572262
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|9|Turbidity|bottom|2002-09-01T00:00:00Z|2022-09-30T23:45:00Z|40052|0|819|11|23.1598671726755|41.7218764279865
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|10|Turbidity|bottom|2002-10-01T00:00:00Z|2022-10-31T23:45:00Z|40761|0|3908|8|16.2078948014033|59.0768324885949
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|11|Turbidity|bottom|2002-11-01T00:00:00Z|2022-11-30T23:45:00Z|45612|0|3572|7|13.939511532053|39.5038172830531
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|12|Turbidity|bottom|2002-12-01T00:00:00Z|2022-12-31T23:45:00Z|48261|0|425|7|13.1622842460786|20.1027411776367
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|1|Turbidity|bottom|2001-01-01T00:00:00Z|2023-01-31T23:45:00Z|50048|0|976|10|23.6892982736573|70.6348039762433
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|2|Turbidity|bottom|2000-02-25T15:00:00Z|2023-02-24T03:00:00Z|46982|0|336|12|15.0786471414584|12.448384225613
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|3|Turbidity|bottom|2000-03-01T00:00:00Z|2022-03-31T23:45:00Z|51372|0|1377|17|19.9745191933349|20.8496676700183
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|4|Turbidity|bottom|2000-04-01T00:00:00Z|2022-04-30T23:45:00Z|45957|1|828|18|21.4939835063211|17.4815481515036
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|5|Turbidity|bottom|2000-05-11T11:30:00Z|2022-05-31T23:45:00Z|48694|1|662|16|19.9527867909804|16.0947003230998
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|6|Turbidity|bottom|2000-06-13T12:00:00Z|2022-06-30T23:45:00Z|44044|0|630|17|22.520683861593|25.7841005025546
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|7|Turbidity|bottom|2001-07-01T00:00:00Z|2022-07-31T23:45:00Z|37771|0|902|15|21.8158904980011|41.857251933013
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|8|Turbidity|bottom|2000-08-11T10:00:00Z|2022-08-31T14:00:00Z|50620|0|1293|15|19.4515804030028|19.6693234199333
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|9|Turbidity|bottom|2000-09-08T09:00:00Z|2022-09-30T23:45:00Z|49104|1|914|13|17.5119745845552|21.1303873228637
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|10|Turbidity|bottom|2000-10-10T13:30:00Z|2022-10-31T23:45:00Z|47262|0|300|10|12.7065083999831|10.5500386333447
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|11|Turbidity|bottom|1997-11-05T11:30:00Z|2022-11-30T23:45:00Z|46709|0|474|8|9.90031899633903|11.5845576433034
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|12|Turbidity|bottom|1997-12-17T14:00:00Z|2022-12-31T23:45:00Z|48976|0|339|7|9.28616056844169|8.58297097175902
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|1|Turbidity|bottom|1997-01-01T00:30:00Z|2023-01-31T23:45:00Z|55458|0|3266|7|16.2387211944174|100.186644486804
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|2|Turbidity|bottom|1997-02-01T00:00:00Z|2023-02-06T11:00:00Z|52403|0|382|10|14.3241989962407|16.503423457755
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|3|Turbidity|bottom|1997-03-01T00:00:00Z|2022-03-31T23:45:00Z|55845|0|856|14|17.5634524129286|17.0394730880878
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|4|Turbidity|bottom|1997-04-01T00:00:00Z|2022-04-30T23:45:00Z|55267|0|1145|15|19.9456637776612|21.0017101992801
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|5|Turbidity|bottom|1997-05-01T00:00:00Z|2022-05-31T23:45:00Z|54988|0|280|12|14.8794100531025|11.657531348325
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|6|Turbidity|bottom|1997-06-01T00:00:00Z|2022-06-30T23:45:00Z|51594|0|1110|11|16.5221925030042|32.0669319115163
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|7|Turbidity|bottom|1997-07-01T00:00:00Z|2022-07-31T23:45:00Z|53099|0|1440|10|14.2661255390874|27.0981333738667
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|8|Turbidity|bottom|1997-08-01T00:00:00Z|2022-08-31T23:45:00Z|52215|0|553|8|11.7505697596476|13.8225387494545
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|9|Turbidity|bottom|1997-09-01T00:00:00Z|2022-09-30T23:45:00Z|52358|0|1436|7|12.6337331448871|38.9144701073653
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|10|Turbidity|bottom|1997-10-01T00:00:00Z|2022-10-31T23:45:00Z|50515|0|933|6|9.72893200039592|23.0903644371172
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|11|Turbidity|bottom|1997-11-01T00:00:00Z|2022-11-30T23:45:00Z|50515|0|1387|5|6.41367910521627|10.556357227088
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|12|Turbidity|bottom|1996-12-16T14:00:00Z|2022-12-31T23:45:00Z|51309|0|3271|4|25.0329766707595|181.189235718248
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|1|Turbidity|bottom|2017-01-01T00:00:00Z|2023-01-31T23:45:00Z|18048|3|3957|16|120.428302304965|389.495058618693
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|2|Turbidity|bottom|2017-02-01T00:00:00Z|2023-02-06T09:15:00Z|14628|5|3470|18|105.925485370522|346.710872716048
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|3|Turbidity|bottom|2017-03-01T00:00:00Z|2022-03-31T23:45:00Z|14558|4|3941|16|57.1632092320374|164.665331223431
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|4|Turbidity|bottom|2017-04-01T00:00:00Z|2022-04-30T23:45:00Z|13257|4|2770|17|35.666968394056|38.0008622268415
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|5|Turbidity|bottom|2017-05-01T00:00:00Z|2022-05-31T23:45:00Z|16466|4|4000|14|49.954390866027|181.595003072935
