ParameterName|ManagedAreaName|Year|CommonIdentifier|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Braun Blanquet Score|Alligator Harbor|2020|Halodule wrightii|2020-10-16T00:00:00Z|2020-10-16T00:00:00Z|22|0.5|5|2|2.68181818181818|1.74945879077104|557
Braun Blanquet Score|Alligator Harbor|2020|Syringodium filiforme|2020-10-16T00:00:00Z|2020-10-16T00:00:00Z|54|1|5|3|2.85185185185185|1.36544149204719|557
Braun Blanquet Score|Alligator Harbor|2020|Thalassia testudinum|2020-10-16T00:00:00Z|2020-10-16T00:00:00Z|50|0.1|4|2|2.044|1.10770216287261|557
Braun Blanquet Score|Alligator Harbor|2021|Drift algae|2021-08-06T00:00:00Z|2021-08-06T00:00:00Z|32|0.1|4|1.5|1.825|1.37324668272416|557
Braun Blanquet Score|Alligator Harbor|2021|Halodule wrightii|2021-08-06T00:00:00Z|2021-08-06T00:00:00Z|22|0.1|5|1|1.96363636363636|1.92342587576623|557
Braun Blanquet Score|Alligator Harbor|2021|Syringodium filiforme|2021-08-06T00:00:00Z|2021-08-06T00:00:00Z|52|0.5|5|2|2.19230769230769|1.38675049056307|557
Braun Blanquet Score|Alligator Harbor|2021|Thalassia testudinum|2021-08-06T00:00:00Z|2021-08-06T00:00:00Z|62|0.1|5|2|2.34193548387097|1.4847363719294|557
Braun Blanquet Score|Apalachicola Bay|2008|Drift algae|2008-06-04T00:00:00Z|2008-06-04T00:00:00Z|8|0.1|0.5|0.1|0.2|0.18516401995451|557
Braun Blanquet Score|Apalachicola Bay|2008|Halodule wrightii|2008-06-04T00:00:00Z|2008-06-04T00:00:00Z|24|5|5|5|5|0|557
Braun Blanquet Score|Apalachicola Bay|2009|Gracilaria sp.|2009-06-15T00:00:00Z|2009-06-15T00:00:00Z|16|0.1|2|0.3|0.55|0.644980619863884|557
Braun Blanquet Score|Apalachicola Bay|2009|Halodule wrightii|2009-06-15T00:00:00Z|2009-06-16T00:00:00Z|64|0.5|5|5|4.390625|1.17334398669406|557
Braun Blanquet Score|Apalachicola Bay|2019|Acetabularia crenulata|2019-05-29T00:00:00Z|2019-05-29T00:00:00Z|2|0.1|0.1|0.1|0.1|0|557
Braun Blanquet Score|Apalachicola Bay|2019|Halodule wrightii|2019-05-23T00:00:00Z|2019-05-29T00:00:00Z|84|0.5|5|3|3.10714285714286|1.58507996182213|557
Braun Blanquet Score|Apalachicola Bay|2019|No grass In Quadrat|2019-05-23T00:00:00Z|2019-05-29T00:00:00Z|20|0|0|0|0|0|557
Braun Blanquet Score|Apalachicola Bay|2020|Halodule wrightii|2020-08-13T00:00:00Z|2020-10-14T00:00:00Z|82|0.1|5|5|4.05121951219512|1.3797695193503|557
Braun Blanquet Score|Apalachicola Bay|2020|No grass In Quadrat|2020-08-13T00:00:00Z|2020-10-14T00:00:00Z|12|0|0|0|0|0|557
Braun Blanquet Score|Apalachicola Bay|2021|Drift algae|2021-08-05T00:00:00Z|2021-08-06T00:00:00Z|10|1|5|1|2|1.63299316185545|557
Braun Blanquet Score|Apalachicola Bay|2021|Halodule wrightii|2021-08-05T00:00:00Z|2021-08-05T00:00:00Z|86|1|5|4|3.72093023255814|1.49234251541345|557
Braun Blanquet Score|Apalachicola Bay|2021|No grass In Quadrat|2021-08-05T00:00:00Z|2021-08-05T00:00:00Z|18|0|0|0|0|0|557
Braun Blanquet Score|Apalachicola NERR|2008|Drift algae|2008-05-15T00:00:00Z|2008-06-04T00:00:00Z|10|0.1|0.5|0.1|0.26|0.206559111797729|557
Braun Blanquet Score|Apalachicola NERR|2008|Halodule wrightii|2008-05-15T00:00:00Z|2008-06-04T00:00:00Z|40|5|5|5|5|0|557
Braun Blanquet Score|Apalachicola NERR|2009|Gracilaria sp.|2009-06-15T00:00:00Z|2009-06-15T00:00:00Z|16|0.1|2|0.3|0.55|0.644980619863884|557
Braun Blanquet Score|Apalachicola NERR|2009|Halodule wrightii|2009-06-15T00:00:00Z|2009-06-16T00:00:00Z|64|0.5|5|5|4.390625|1.17334398669406|557
Braun Blanquet Score|Apalachicola NERR|2019|Acetabularia crenulata|2019-05-29T00:00:00Z|2019-05-29T00:00:00Z|2|0.1|0.1|0.1|0.1|0|557
Braun Blanquet Score|Apalachicola NERR|2019|Drift algae|2019-05-23T00:00:00Z|2019-05-23T00:00:00Z|2|1|1|1|1|0|557
Braun Blanquet Score|Apalachicola NERR|2019|Halodule wrightii|2019-05-23T00:00:00Z|2019-06-14T00:00:00Z|176|0.1|5|4|3.24659090909091|1.56650284673574|557
Braun Blanquet Score|Apalachicola NERR|2019|No grass In Quadrat|2019-05-23T00:00:00Z|2019-05-29T00:00:00Z|24|0|0|0|0|0|557
Braun Blanquet Score|Apalachicola NERR|2020|Drift algae|2020-10-14T00:00:00Z|2020-10-15T00:00:00Z|14|0.5|3|1|1.64285714285714|0.988949937065561|557
Braun Blanquet Score|Apalachicola NERR|2020|Halodule wrightii|2020-08-13T00:00:00Z|2020-10-15T00:00:00Z|172|0.1|5|4|3.86860465116279|1.40668925132838|557
Braun Blanquet Score|Apalachicola NERR|2020|No grass In Quadrat|2020-08-13T00:00:00Z|2020-10-15T00:00:00Z|18|0|0|0|0|0|557
Braun Blanquet Score|Apalachicola NERR|2021|Drift algae|2021-08-05T00:00:00Z|2021-08-06T00:00:00Z|28|1|5|1|1.35714285714286|1.06159508617181|557
Braun Blanquet Score|Apalachicola NERR|2021|Halodule wrightii|2021-08-05T00:00:00Z|2021-08-05T00:00:00Z|182|0.1|5|4|3.60659340659341|1.57268129401763|557
Braun Blanquet Score|Apalachicola NERR|2021|No grass In Quadrat|2021-08-05T00:00:00Z|2021-08-05T00:00:00Z|18|0|0|0|0|0|557
Braun Blanquet Score|Biscayne Bay|2005|Acanthophora muscoides|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Acetabularia sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Acetabularia spp.|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Agardhiella ramosissima|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Amphiroa spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Anadyomene spp.|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Anadyomene stellata|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Anemones|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Avrainvillea levis|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Batophora oerstedii|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Batophora spp.|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Brown algae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Brown Algae group|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Brownother|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Bryopsis|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Calcareous green algae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Calcareousgreenother|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Caulerpa spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Centroceras sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Ceramium|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Chaetomorpha linum|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Champia parvula|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Chara spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Chondria capillaris|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Cladocephalus|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Cladophora|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Crustose coralline algae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Dasya sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Dasycladus|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Derbesia|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Dictyosphaeria|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Dictyota spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Drift algae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Ernodesmis sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Gracilaria sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Grateloupia|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Green calcareous algae|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1654|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Green other|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Greenother|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Griffithsia|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Halimeda spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Halodule wrightii|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|6912|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Halophila decipiens|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Halophila engelmannii|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|3024|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Halophila johnsonii|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Halophila sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Hydroid|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Hypnea|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Hypoglossum|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Jania spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Laurencia spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Neophocaena|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Octocoral|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Other|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Padina gymnospora|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Penicillus sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Penicillus spp.|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Polysiphonia sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Pterocladiella sanctarum|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Red other|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4968|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Redother|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Rhipocephalus|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Ruppia maritima|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|10152|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Sargassum sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Sargassum spp.|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Spermothamnion|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Sponge|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Spyridia filamentosa|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Stony_coral|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Syringodium filiforme|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|10800|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Thalassia testudinum|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|10800|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2005|Total Green Algae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Total seagrass|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Total_macroalgae|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Total_SAV|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Turbinaria turbinata|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Udotea|2005-05-12T00:00:00Z|2005-05-19T00:00:00Z|1944|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2005|Udotea spp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Ulva sp.|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|9720|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Valonia|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|1080|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2005|Wrightiella|2005-04-30T00:00:00Z|2005-10-31T00:00:00Z|4320|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Acanthophora muscoides|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Acetabularia sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Acetabularia spp.|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1328|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Agardhiella ramosissima|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Amphiroa spp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Anadyomene spp.|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1328|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Anadyomene stellata|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Anemones|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Avrainvillea levis|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Batophora oerstedii|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Batophora spp.|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1328|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Brown algae|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Brown Algae group|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1328|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Brownother|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|4272|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Bryopsis|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|4272|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Calcareous green algae|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Calcareousgreenother|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|4272|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Caulerpa spp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Centroceras sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Ceramium|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Chaetomorpha linum|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Champia parvula|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Chara spp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Chondria capillaris|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Cladocephalus|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|4272|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Cladophora|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Crustose coralline algae|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Dasya sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Dasycladus|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Derbesia|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Dictyosphaeria|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Dictyota spp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Drift algae|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Ernodesmis sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Gracilaria sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Grateloupia|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Green calcareous algae|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1138|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Green other|2006-05-21T00:00:00Z|2006-05-25T00:00:00Z|1328|0|0|0|0|0|4049
Braun Blanquet Score|Biscayne Bay|2006|Greenother|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|4272|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Griffithsia|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Halimeda spp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Halodule wrightii|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|5052|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Halophila decipiens|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Halophila engelmannii|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|2396|0|0|0|0|0|965, 4049
Braun Blanquet Score|Biscayne Bay|2006|Halophila johnsonii|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
Braun Blanquet Score|Biscayne Bay|2006|Halophila sp.|2006-04-30T00:00:00Z|2006-10-31T00:00:00Z|1068|0|0|0|0|0|965
