AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,N_Total,N_AnalysisUse,N_H,perc_H,N_I,perc_I,N_Q,perc_Q,N_S,perc_S,N_U,perc_U
1,Alligator Harbor Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,284,284,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
2,Apalachicola Bay Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,16,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
3,Apalachicola National Estuarine Research Reserve,"Colored dissolved organic matter, CDOM",Surface,Sample,99,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
4,Banana River Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,132,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
5,Big Bend Seagrasses Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,1509,1509,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
7,Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,1,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
6,Biscayne Bay Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,36,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
8,Boca Ciega Bay Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,1,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
9,Cape Haze Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,6,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,8,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
11,Cockroach Bay Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,154,154,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
13,Coupon Bight Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,1,0,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
14,Estero Bay Aquatic Preserve,"Colored dissolved organic matter, CDOM",Surface,Sample,445,445,0,0,317,2.96427903497288,219,2.0478773143819,0,0,225,2.10398354217318
