AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Years|SufficientData|EarliestLiveDate|LatestLiveDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|6|TRUE|2010|2016|2016-11-16T00:00:00Z|235|0|990|1|39.6553191489362|120.494974198328|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073
3|Apalachicola National Estuarine Research Reserve|Density_m2|Live Oyster Shells||Natural|7|TRUE|2010|2019|2019-12-16T00:00:00Z|367|0|2670|1|114.098092643052|344.985690954806|Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063, 5073, 5075
8|Boca Ciega Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|30|0|2432|664|748.8|510.020310616528|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
14|Estero Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|9|TRUE|2014|2022|2022-02-01T00:00:00Z|253|0|6768|600|743.926218708827|861.397631698783|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|30|0|1920|176|413.733333333333|517.236885191204|SCCF Oyster Restoration Monitoring|4012
19|Guana River Marsh Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|286|0|6848|1112|1354.74125874126|1062.66355001823|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|727|0|11104|1136|1439.93397524072|1243.79725879224|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|4|FALSE|2017|2021|2021-06-26T00:00:00Z|75|0|766.666666666667|200|225.333333333333|201.241641312622|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-22T00:00:00Z|329|0|700|100|174.316109422492|176.209755944347|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-30T00:00:00Z|69|0|716.666666666667|66.6666666666667|118.115942028986|152.370676184982|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016
25|Lemon Bay Aquatic Preserve|Density_m2|Live Oyster Shells||Natural|13|TRUE|2007|2022|2022-12-28T00:00:00Z|396|0|3968|880|963.353535353535|743.483627981193|Sarasota County Comprehensive Oyster Monitoring Program|972
