AreaID,ManagedAreaName,ShortName,Region,Abbreviation
1,Alligator Harbor Aquatic Preserve,Alligator Harbor,NW,AHAP
2,Apalachicola Bay Aquatic Preserve,Apalachicola Bay,NW,ABAP
3,Apalachicola National Estuarine Research Reserve,Apalachicola NERR,NW,ANERR
4,Banana River Aquatic Preserve,Banana River,NE,BRAP
5,Big Bend Seagrasses Aquatic Preserve,Big Bend Seagrasses,NW,BBSAP
6,Biscayne Bay Aquatic Preserve,Biscayne Bay,SE,BBAP
7,Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,Biscayne Bay-Cape Florida to Monroe County Line,SE,BBCFMCAP
8,Boca Ciega Bay Aquatic Preserve,Boca Ciega Bay,SW,BCBAP
9,Cape Haze Aquatic Preserve,Cape Haze,SW,CHAP
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Cape Romano-Ten Thousand Islands,SW,CRTTIAP
11,Cockroach Bay Aquatic Preserve,Cockroach Bay,SW,CKRBAP
12,Southeast Florida Coral Reef Ecosystem Conservation Area,Coral ECA,SE,CRCP
13,Coupon Bight Aquatic Preserve,Coupon Bight,SE,CBAP
14,Estero Bay Aquatic Preserve,Estero Bay,SW,EBAP
15,Florida Keys National Marine Sanctuary,Florida Keys NMS,SE,FKNMS
16,Fort Clinch State Park Aquatic Preserve,Fort Clinch,NE,FCAP
17,Fort Pickens State Park Aquatic Preserve,Fort Pickens,NW,FPAP
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Gasparilla Sound-Charlotte Harbor,SW,GSCHAP
19,Guana River Marsh Aquatic Preserve,Guana River Marsh,NE,GRMAP
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Guana Tolomato Matanzas NERR,NE,GTMNERR
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Indian River-Malabar to Vero Beach,NE,IRMVBAP
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Indian River-Vero Beach to Ft. Pierce,NE,IRVBFPAP
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Jensen Beach to Jupiter Inlet,NE,JBJIAP
25,Lemon Bay Aquatic Preserve,Lemon Bay,SW,LBAP
26,Lignumvitae Key Aquatic Preserve,Lignumvitae Key,SE,LKAP
27,Loxahatchee River-Lake Worth Creek Aquatic Preserve,Loxahatchee River-Lake Worth Creek,NE,LRLWCAP
28,Matlacha Pass Aquatic Preserve,Matlacha Pass,SW,MPAP
29,Mosquito Lagoon Aquatic Preserve,Mosquito Lagoon,NE,MLAP
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Nassau River-St. Johns River Marshes,NE,NRSJRAP
31,North Fork St. Lucie Aquatic Preserve,North Fork St. Lucie,NE,NFSLRAP
33,Pellicer Creek Aquatic Preserve,Pellicer Creek,NE,PCRAP
34,Pine Island Sound Aquatic Preserve,Pine Island Sound,SW,PISAP
35,Pinellas County Aquatic Preserve,Pinellas County,SW,PCAP
37,Rocky Bayou State Park Aquatic Preserve,Rocky Bayou,NW,RBSPAP
38,Rookery Bay Aquatic Preserve,Rookery Bay,SW,RBAP
39,Rookery Bay National Estuarine Research Reserve,Rookery Bay NERR,SW,RBNERR
40,St. Andrews State Park Aquatic Preserve,St. Andrews,NW,SBAP
41,St. Joseph Bay Aquatic Preserve,St. Joseph Bay,NW,SJBAP
42,St. Joseph Bay State Buffer Preserve,St. Joseph Buffer,NW,SJBSBP
43,St. Martins Marsh Aquatic Preserve,St. Martins Marsh,NW,SMMAP
44,Terra Ceia Aquatic Preserve,Terra Ceia,SW,TCAP
45,Tomoka Marsh Aquatic Preserve,Tomoka Marsh,NE,TMAP
47,Yellow River Marsh Aquatic Preserve,Yellow River Marsh,NW,YRMAP
48,Nature Coast Aquatic Preserve,Nature Coast,NW,NCAP
