ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Apalachicola Bay Aquatic Preserve|2000-07-25|2022-01-06|3682|6.36|158|94.15|93.4867762085823|14.3990365598949|0.1434|0.508333333333334|-848.780844155844|0|1
Apalachicola National Estuarine Research Reserve|2000-07-25|2022-01-12|4642|2|158|92.8|91.8657281344248|14.8116972619174|0.0966|0.350000000000001|-539.158333333334|0|1
Banana River Aquatic Preserve|1991-08-28|2021-12-15|6638|0|261|44|46.3932965049714|47.8625039840463|0.2121|0.275|-528.937435185186|0|1
Big Bend Seagrasses Aquatic Preserve|1999-02-02|2022-01-26|599|3.4|173.2|74|74.0498279632721|22.8183540868691|0.0221|0.05|-569.980128205128|0.7697|0
Biscayne Bay Aquatic Preserve|1995-03-30|2021-01-07|1133|2.19|170.2|90.1|77.93266548985|34.4852387782889|0.1199|2.72083333333333|455.499999999997|0|1
Boca Ciega Bay Aquatic Preserve|1992-08-13|2021-12-16|2683|0|328.7|93.5|91.7166604547149|33.0995483188275|0.0412|0.649999999999999|405.924999999998|0|1
Cape Romano-Ten Thousand Islands Aquatic Preserve|2002-01-24|2021-10-27|1113|1.7|144.2|72.55|70.44316262354|21.866824997983|-0.0814|-0.41|889.433333333335|0.0001|-1
Cockroach Bay Aquatic Preserve|1993-09-20|2021-11-17|4655|0.8|158.5|62.1|63.247261009667|20.7466574449767|-0.0513|-0.399999999999999|240.262500000004|0|-1
Coupon Bight Aquatic Preserve|1995-03-23|2021-11-30|79|3.26|265|93.61986995|89.6543358898734|31.1761482611572|-0.0768|-0.235259265652174|593.851891364668|0.3152|0
Estero Bay Aquatic Preserve|2011-09-15|2022-01-03|1151|2.31|185.249|85.4|82.2708152910513|20.6687981738219|-0.2393|-1.7|3048.23573333333|0|-1
Florida Keys National Marine Sanctuary|1995-03-22|2021-12-28|14337|0.9|237|94.70206356|91.5481788759336|14.3099010077663|0.1734|0.270295072000002|-375.078394267913|0|1
Fort Pickens State Park Aquatic Preserve|1999-01-19|2018-02-22|145|63.1|122.8689|98.8|97.7693744827586|8.99702467987318|0.0839|0.202941176470588|-216.188833333334|0.2165|0
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1992-08-26|2022-01-03|143|4.1|107.3|68.6|64.8573426573427|25.181788326315|0.2321|2.5|-4590.3715979064|0.0002|1
Guana River Marsh Aquatic Preserve|1999-05-19|2021-12-01|626|27.5|128|76.55|75.1100159744409|17.5972073284298|0.0182|0.0250000000000004|5.238461538462|0.7075|0
Guana Tolomato Matanzas National Estuarine Research Reserve|1999-05-19|2022-01-12|1082|2.96|128|79|76.6690295748614|18.4991998147084|0.0036|0.00454545454545461|-156.669322344322|0.8743|0
Indian River-Malabar to Vero Beach Aquatic Preserve|1991-06-22|2021-10-18|11474|0|226.41|65|51.0398346261112|43.7837609247655|0.1963|0.45|-762.256042701863|0|1
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1992-01-29|2021-07-12|632|0.2173|187.4|81.4|70.8109726265823|37.7312243011527|0.4343|2.44058823529412|-4618.69666666667|0|1
Jensen Beach to Jupiter Inlet Aquatic Preserve|1993-07-26|2021-12-29|3832|0|207.1|74.1175|54.175608585595|43.5669058992379|0.2324|0.84375|-1279.85892941176|0|1
Lemon Bay Aquatic Preserve|1998-02-26|2022-01-03|2960|7.41|186|88|87.8118648648649|17.0019422136257|0.059|0.171428571428572|-414.5|0|1
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1995-07-10|2021-12-29|6837|0|156.8|80.9|77.6573606845108|20.2107038316957|-0.0385|-0.122222222222222|318.863727272728|0.0003|-1
Mosquito Lagoon Aquatic Preserve|2006-04-03|2021-08-31|262|0|136|91.05|84.4306236641221|25.1269587947122|-0.1853|-0.909401709401709|1683.46482948718|0.0001|-1
Nassau River-St. Johns River Marshes Aquatic Preserve|2002-03-20|2022-01-25|377|7.3|147|88.3|84.93824933687|16.3340380673795|-0.161|-0.523529411764706|928.321428571428|0|-1
Pellicer Creek Aquatic Preserve|2004-04-26|2022-01-12|96|4.94|114.8|60.1|60.5176041666667|19.5685425186656|0.1038|0.846590909090909|-1271.55101809955|0.1515|0
Pinellas County Aquatic Preserve|1992-08-11|2022-01-13|11551|0|328.7|93.8|92.2648815686953|25.8125199090861|0.0838|0.392857142857143|-691.04090909091|0|1
Rocky Bayou State Park Aquatic Preserve|2000-12-29|2021-12-10|293|54.7|132|97|97.4981911262799|11.7509163066349|0.1356|0.400000000000006|-920.317222222222|0.0006|1
Rookery Bay Aquatic Preserve|1998-06-04|2021-10-26|852|0.66|202|80.15|78.8048943661972|20.8609734947213|0.0146|0.0499999999999995|-127.759285714286|0.5961|0
Rookery Bay National Estuarine Research Reserve|1998-06-04|2021-10-27|1971|0.66|202|75.6|74.0252714358194|21.8234563618729|-0.0956|-0.401|863.532053571427|0|-1
Southeast Florida Coral Reef Ecosystem Conservation Area|1995-04-22|2016-08-09|165|0.3288|115|0.9201|37.3062515151515|46.4572518488885|-0.0936|-0.111066666666667|365.011225|0.0634|0
Terra Ceia Aquatic Preserve|1993-09-21|2021-11-17|1779|36.5|168.7|91.8|91.1599887577291|14.4876256185362|0.0463|0|-421.323928571428|0.9935|0
Yellow River Marsh Aquatic Preserve|2002-06-05|2020-12-08|60|55|108.7962|79.62935|80.222535|11.7087377923255|-0.2586|-0.822058333333333|1513.7740288961|0.0078|-1
