ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Apalachicola Bay Aquatic Preserve|2000-07-25|2022-01-06|2202|0.4|178.3|90.1|89.0966939146231|19.4414916460818|0.0992|0.453846153846154|-857.540384615385|0|1
Apalachicola National Estuarine Research Reserve|2000-07-25|2022-01-12|2672|0.4|178.3|89.5|88.2994910179641|18.7815390344243|0.0485|0.200000000000003|-357.185|0.0001|1
Banana River Aquatic Preserve|2012-03-11|2021-10-04|156|18|146.7|90.3|87.2720833333333|23.1399134785118|0.0911|1.03125|-1664.77583333333|0.0818|0
Boca Ciega Bay Aquatic Preserve|1992-08-13|2021-12-16|3794|2.4|193.8|87.1|85.7963890353189|24.5212934177729|-0.0657|-1.3|3297.64166666667|0|-1
Cape Romano-Ten Thousand Islands Aquatic Preserve|2002-02-21|2019-09-04|212|20.45|144.2|73.25|74.2957547169811|23.8558052170885|-0.0675|-0.488888888888889|1087.72678571429|0.3232|0
Cockroach Bay Aquatic Preserve|1995-09-19|2021-11-23|3863|2.2|137.2|53.4|56.1378980067305|19.1513139342862|0.0666|0.927777777777778|440.587500000004|0|1
Coupon Bight Aquatic Preserve|1995-07-28|2020-10-05|78|46.22500268|130.9|93.463120715|88.9314655630769|18.7590448135465|-0.0017|-0.106949936428571|309.405043612388|0.8746|0
Florida Keys National Marine Sanctuary|1995-03-22|2021-05-06|17738|0.4|226.21282553|93.990580525|90.7778670964601|13.5783877854116|0.16|0.26832487050505|-425.41485052093|0|1
Guana River Marsh Aquatic Preserve|2005-05-12|2021-12-01|212|7.14|128.5|81.45|78.5690566037736|17.2352057049942|-0.017|-0.199999999999999|-849.319270833334|0.4524|0
Guana Tolomato Matanzas National Estuarine Research Reserve|2004-04-22|2022-01-12|501|7.14|128.5|85|81.8398003992016|16.0341486821122|-0.1623|-0.794444444444444|1887.75444444444|0|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|2012-02-22|2021-11-01|460|0|153.65|77.1|70.9414771739131|33.3345442790444|-0.1289|-2.04166666666667|4853.46616666667|0.0002|-1
Jensen Beach to Jupiter Inlet Aquatic Preserve|2005-12-27|2019-02-22|61|58.04|118|94.6|92.0527868852459|13.3078611017633|-0.1344|-0.375|3644.48125|0.5069|0
Loxahatchee River-Lake Worth Creek Aquatic Preserve|2003-06-11|2019-10-18|269|49|124.1|98.1|95.5148327137547|11.5885131812395|-0.1176|-0.555555555555556|-259.014583333335|0.0027|-1
Nassau River-St. Johns River Marshes Aquatic Preserve|2004-03-31|2021-10-26|183|15.1|142.1|87|84.3934426229508|14.1753756721247|-0.2929|-1.34285714285714|3152.390625|0|-1
Pinellas County Aquatic Preserve|1992-08-11|2021-12-16|10586|0.306|193.8|85.4|82.5085413754015|23.8272117726836|-0.0159|-0.550000000000001|232.169339572195|0|-1
Rocky Bayou State Park Aquatic Preserve|2001-02-19|2018-10-04|257|2.5|124.8|54.1|53.2368093385214|30.796437495856|0.0633|0.45|-906|0.1722|0
Rookery Bay Aquatic Preserve|2002-02-05|2021-09-27|152|0.88|126.55|78.95|76.7944736842105|22.4724797050085|0.023|0.27|-173.853928571427|0.531|0
Rookery Bay National Estuarine Research Reserve|2002-02-04|2021-09-27|370|0.88|144.2|77.4|75.4891621621622|22.9477909405725|-0.0511|-0.233333333333332|734.264583333332|0.211|0
Terra Ceia Aquatic Preserve|1993-09-21|2021-11-17|2066|3.1|159.7|89.3|89.1215876089061|19.4345893335317|-0.095|-0.7375|151.958333333333|0|-1
