ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Alligator Harbor Aquatic Preserve|1998-08-14|2022-02-18|4777|2|18.6|7.3|7.31418672807201|1.70910099997247|-0.1687|-0.05|135.46|0|-1
Apalachicola Bay Aquatic Preserve|1992-02-25|2022-01-06|30900|0.1|18.2|7.7|7.77400517799353|1.98626700636541|-0.0743|-0.0250000000000001|64.3568627450981|0|-1
Apalachicola National Estuarine Research Reserve|1992-02-24|2022-01-12|46640|0.1|18.2|7.75|7.77714879931389|1.94690429759391|-0.0736|-0.025|60.2482142857142|0|-1
Banana River Aquatic Preserve|1990-03-27|2021-12-15|21879|0|23.91|6.5|6.48626655697244|2.16317126941632|-0.1043|-0.0454545454545455|96.1706578947368|0|-1
Big Bend Seagrasses Aquatic Preserve|1982-06-08|2022-01-26|92511|0|20.4|6.8|6.998496360649|1.86563334761414|-0.0581|-0.0190909090909091|45.2166666666667|0|-1
Biscayne Bay Aquatic Preserve|1970-01-15|2021-08-17|5453|0.15|100.2|6|6.28442508710801|6.27574393039894|-0.0298|-0.00499999999999989|12.7933928571429|0.0006|-1
Boca Ciega Bay Aquatic Preserve|1974-02-25|2021-12-16|16688|0|96.3|6.7|6.74048358103428|2.0075685849124|0.0305|0.0100000000000001|3.03288461538454|0|1
Cape Haze Aquatic Preserve|1989-04-05|2021-06-07|7133|0.4|59.5|7|6.93645030141595|2.14522717969456|-0.0716|-0.0285714285714286|60.3279545454545|0|-1
Cape Romano-Ten Thousand Islands Aquatic Preserve|1989-04-12|2021-11-17|6460|0.1|13.8|5.9|5.74802476934985|1.57673277208547|-0.1663|-0.05|99.7025|0|-1
Cockroach Bay Aquatic Preserve|1989-04-19|2021-11-23|14682|0.06|20.2|5.69|5.90705557825909|2.18761767362066|0.0206|0.014|-10.766875|0|1
Coupon Bight Aquatic Preserve|1995-03-23|2021-10-28|79|1.17|14.47|6.02396|5.92328443037975|1.8028504410365|-0.2046|-0.0360846153846154|122.841163181818|0.0714|0
Estero Bay Aquatic Preserve|1971-06-04|2022-01-03|8247|0.1|24.6|5.9|5.92561130107918|1.6815021133129|-0.0817|-0.0261538461538461|68.71875|0|-1
Florida Keys National Marine Sanctuary|1970-01-15|2021-11-29|22042|0|107.8|6.25876|6.18926519961891|2.02608073234909|0.0905|0.0110614285714285|-6.71696849999999|0|1
Fort Clinch State Park Aquatic Preserve|1994-08-11|2021-11-18|798|3.2|15|7.29|7.43996240601504|1.79746855971868|-0.0628|-0.0166666666666666|57.3749999999998|0.023|-1
Fort Pickens State Park Aquatic Preserve|1982-06-07|2019-09-27|835|4.5|12.7|7.68|7.78144299401198|1.26826591198731|0.102|0.0310526315789474|-4.68233904761903|0|1
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1989-04-03|2022-01-03|35626|0.1|65|6.7|6.68114593274575|1.82863930888551|-0.0268|-0.0083333333333333|26.45925|0|-1
Guana River Marsh Aquatic Preserve|1986-09-19|2021-12-01|4584|0|40.5|5.8|5.76805191972077|2.35471383921612|-0.2137|-0.087|155.237759103641|0|-1
Guana Tolomato Matanzas National Estuarine Research Reserve|1986-09-19|2022-01-12|13156|0|40.5|6|5.98284889024019|2.10406359699263|-0.2296|-0.082|138.937745098039|0|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|1991-06-22|2021-10-18|39894|0|31.95|6.34|6.25875668020254|2.01493483801617|-0.0445|-0.0181818181818181|37.7457589285715|0|-1
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1992-01-29|2021-10-14|5300|0.4|19.1|6.38|6.18221698113208|1.94432779823573|-0.1128|-0.04375|101.844807692308|0|-1
Jensen Beach to Jupiter Inlet Aquatic Preserve|1972-11-17|2021-12-29|7256|0|18.6|6.35|6.33942805953694|1.48155483577872|0.0909|0.0225|-42.796978021978|0|1
Lemon Bay Aquatic Preserve|1971-06-01|2022-01-03|7745|0.2|50|6.3|6.2841639767592|1.65940018956265|0.0014|0|3.63428571428573|0.4459|0
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1991-01-24|2021-12-29|7718|0.16|12.6|5.805|5.62823918113501|1.36664363809503|-0.1047|-0.0225|57.4445394736841|0|-1
Matlacha Pass Aquatic Preserve|1990-04-02|2022-01-03|6636|0.2|46.3|6.8|6.86399374171188|1.98292905952444|0.0219|0.00600000000000001|-10.8842657342657|0.0192|1
Mosquito Lagoon Aquatic Preserve|1991-07-23|2021-08-31|3451|0.37|12.85|5.4|5.52049550854825|1.8730011299145|-0.1379|-0.0555555555555556|98.9397727272727|0|-1
Nassau River-St. Johns River Marshes Aquatic Preserve|1982-04-19|2022-01-25|26924|0.31|37.4|6.15|6.14512182439459|2.00779012045338|0.2309|0.125333333333333|-202.809999999999|0|1
Nature Coast Aquatic Preserve|1982-07-03|2022-01-26|5959|0.361|18.58|7|7.0141758684343|1.64052001554327|0.004|0.000666666666666653|-2.20178571428571|0.5992|0
North Fork St. Lucie Aquatic Preserve|1989-04-05|2021-12-08|3173|0.2|14.28|6.56|6.56456035297825|1.76822155719041|-0.1923|-0.06|132.321190476191|0|-1
Pellicer Creek Aquatic Preserve|2004-08-04|2022-01-12|750|1.66|11.19|5.42|5.60978666666667|1.72156640175639|0.0782|0.086|-41.3713333333335|0|1
Pine Island Sound Aquatic Preserve|1985-10-28|2022-01-03|20201|0.3|18|7.1|7.18741750853918|1.91568020961933|0.0336|0.0111111111111111|-10.9022727272727|0|1
Pinellas County Aquatic Preserve|1974-02-25|2022-01-13|52120|0|133.7|6.8|6.86903551417824|2.48594684310204|0.0323|0.00999999999999996|-14.04|0|1
