ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Alligator Harbor Aquatic Preserve|1998-11-17|2022-01-18|2470|22.5|40|31.4|31.1380647773279|2.6734978634923|0.0243|0|20.8722222222221|0.5799|0
Apalachicola Bay Aquatic Preserve|1992-07-22|2022-01-06|14921|0|40.3|20.1|18.9569465853495|9.53412542078742|0.0574|0.109090909090909|-207.805|0|1
Apalachicola National Estuarine Research Reserve|1992-07-22|2022-01-12|21427|0|40.3|20.7|19.2899346618752|9.60329104787895|0.0336|0.0799999999999997|-127.806|0|1
Banana River Aquatic Preserve|1991-09-11|2021-10-04|6151|0|38|19.2|19.8484652901967|5.25049035746913|0.3924|0.6|-1113.72777777778|0|1
Big Bend Seagrasses Aquatic Preserve|1982-06-08|2021-12-28|34210|0|39|23.2|21.6223259280912|7.42861084959907|0.087|0.111111111111111|-190.13|0|1
Biscayne Bay Aquatic Preserve|1993-09-30|2021-01-07|3519|0.2|41.74|33.5|33.0215765842569|4.04694958639656|0.0307|0.0166666666666669|-49.5354999999996|0.2469|0
Boca Ciega Bay Aquatic Preserve|1992-08-13|2021-12-16|4216|3|48930|31.86|43.1926280836338|753.09396318232|0.0309|-0.0533333333333334|-59.3815|0|-1
Cape Haze Aquatic Preserve|1995-04-18|2021-12-07|700|5.15|40.43|31.2|30.0205|5.73071207066887|-0.0259|-0.109090909090909|-81.986166666667|0.0062|-1
Cape Romano-Ten Thousand Islands Aquatic Preserve|1994-04-25|2020-11-13|4904|0|43|31.5|29.3542985318108|7.96246568067191|-0.0366|-0.0399999999999999|127.330000000001|0.0001|-1
Cockroach Bay Aquatic Preserve|1995-09-19|2021-11-23|4167|0|36.1|7.01|9.13526037916967|8.37537532484905|-0.1193|-0.19|560.419458333333|0|-1
Coupon Bight Aquatic Preserve|1995-07-28|2020-10-05|51|33.8|38.3|36.51|36.3857666666667|0.949141573142104|0.1733|0.0234799999999989|-9.26713333333378|0.3712|0
Estero Bay Aquatic Preserve|1999-01-27|2021-12-06|424|0.07|40.61|33.73|32.7916509433962|4.27123858671377|-0.086|-0.0618749999999999|168.921911764706|0.0085|-1
Florida Keys National Marine Sanctuary|1982-06-22|2021-05-15|17581|0.67|46.021|36.2036|35.4863404612934|2.92571823671734|0.0517|0.00731111111111065|2.0049583333353|0|1
Fort Pickens State Park Aquatic Preserve|1982-06-07|2019-05-30|44|14|37.55|25.935|25.5088636363636|6.46326730532184|-0.3063|-0.382571428571429|506.056|0.015|-1
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1992-08-26|2022-01-03|4273|0.16|25700|28.1|33.0465129885327|392.804842158168|-0.1404|-0.196510869565217|414.082666666666|0|-1
Guana River Marsh Aquatic Preserve|1986-09-19|2021-12-01|2318|0.33|39.9|31.6|30.0333735979293|6.06736109165381|-0.0562|-0.0300000000000004|122.225296451914|0.0098|-1
Guana Tolomato Matanzas National Estuarine Research Reserve|1986-09-19|2022-01-12|6236|0.05|40.8|32.5|31.1257184092367|5.59743950057117|-0.0439|-0.025|55.9071428571422|0|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|1991-06-29|2021-10-12|10251|0|43|28.89|26.9924632718759|7.38273936904923|0.1072|0.165000000000001|-353.73|0|1
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1995-01-25|2021-07-12|2232|6.2|39.5|29.4|28.4521102150538|5.41176320412654|0.0239|0.0416666666666667|30.4|0.0136|1
Jensen Beach to Jupiter Inlet Aquatic Preserve|1994-08-15|2020-08-13|360|0|40|32.2|30.4675833333333|6.44600945361117|0.2333|0.233452380952381|-293.648351648352|0|1
Lemon Bay Aquatic Preserve|1986-09-11|2022-01-03|1937|8.7|63.1|33.3|32.74816210635|3.95977195485444|0.0014|0|-36.9492873303167|0.9247|0
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1996-09-26|2019-10-18|315|0.8|39.6|34.6|31.4655238095238|8.25993973478027|0.2304|0.285|-1115.67854166667|0|1
Matlacha Pass Aquatic Preserve|1995-01-12|2021-12-14|726|3.2|62.7|24.25|23.6291873278237|7.41045079558763|-0.107|-0.143618181818182|217.579708333333|0|-1
Mosquito Lagoon Aquatic Preserve|1995-01-05|2021-08-31|1184|10|44.4|32.65|32.2506503378378|4.14498972415971|0.07|0.0714285714285714|-88.0602941176475|0.0001|1
