AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
1|Alligator Harbor Aquatic Preserve|2001|Chlorophyll a uncorrected for pheophytin|All|Lab|8|3|19|12|12|5.37188447913233|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2002|Chlorophyll a uncorrected for pheophytin|All|Lab|14|1|22|4.5|6.92857142857143|5.8106571283923|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2003|Chlorophyll a uncorrected for pheophytin|All|Lab|2|2|5|3.5|3.5|2.12132034355964|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2006|Chlorophyll a uncorrected for pheophytin|All|Lab|18|1|5|2|2.16666666666667|1.2485285456936|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2007|Chlorophyll a uncorrected for pheophytin|All|Lab|18|0.9|7|2|2.81111111111111|1.88738502225228|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2008|Chlorophyll a uncorrected for pheophytin|All|Lab|19|0|13|2|2.47368421052632|2.75617329427418|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2009|Chlorophyll a uncorrected for pheophytin|All|Lab|15|0.5|10.5|2|3.02|2.9314062934269|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2010|Chlorophyll a uncorrected for pheophytin|All|Lab|9|2|9|4|4.44444444444444|2.24227067451229|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2011|Chlorophyll a uncorrected for pheophytin|All|Lab|4|0.2|0.9|0.5|0.525|0.330403793359984|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2016|Chlorophyll a uncorrected for pheophytin|All|Lab|6|2|13|8|7.66666666666667|3.82970843102535|Florida STORET / WIN|5002
1|Alligator Harbor Aquatic Preserve|2017|Chlorophyll a uncorrected for pheophytin|All|Lab|79|1|26|7|9.53164556962025|6.95375833270697|Florida LAKEWATCH Program, Florida STORET / WIN|514, 5002
1|Alligator Harbor Aquatic Preserve|2018|Chlorophyll a uncorrected for pheophytin|All|Lab|84|0|47|7.5|11.6785714285714|10.281766191024|Florida LAKEWATCH Program|514
1|Alligator Harbor Aquatic Preserve|2019|Chlorophyll a uncorrected for pheophytin|All|Lab|70|1|28|9|10.6571428571429|7.32255937336103|Florida LAKEWATCH Program|514
1|Alligator Harbor Aquatic Preserve|2020|Chlorophyll a uncorrected for pheophytin|All|Lab|14|0|6|3|3.28571428571429|1.43733575268066|EPA STOrage and RETrieval Data Warehouse (STORET)|103
1|Alligator Harbor Aquatic Preserve|2021|Chlorophyll a uncorrected for pheophytin|All|Lab|117|0|30|4|6.4491452991453|6.29668544069425|EPA STOrage and RETrieval Data Warehouse (STORET)|103
2|Apalachicola Bay Aquatic Preserve|2002|Chlorophyll a uncorrected for pheophytin|All|Lab|2|11.87|11.87|11.87|11.87|0|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
2|Apalachicola Bay Aquatic Preserve|2004|Chlorophyll a uncorrected for pheophytin|All|Lab|2|9.9415|9.9415|9.9415|9.9415|0|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
2|Apalachicola Bay Aquatic Preserve|2005|Chlorophyll a uncorrected for pheophytin|All|Lab|2|4.56|11.65|8.105|8.105|5.01338707861262|EPA STOrage and RETrieval Data Warehouse (STORET)|103
2|Apalachicola Bay Aquatic Preserve|2006|Chlorophyll a uncorrected for pheophytin|All|Lab|1|4.205|4.205|4.205|4.205||EPA STOrage and RETrieval Data Warehouse (STORET)|103
2|Apalachicola Bay Aquatic Preserve|2010|Chlorophyll a uncorrected for pheophytin|All|Lab|3|3.55|20.39|10.41|11.45|8.46803401032377|National Aquatic Resource Surveys, National Coastal Condition Assessment|118
2|Apalachicola Bay Aquatic Preserve|2011|Chlorophyll a uncorrected for pheophytin|All|Lab|185|3.1|65.1|15.2|17.2437837837838|10.762569838018|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2012|Chlorophyll a uncorrected for pheophytin|All|Lab|189|0.46|35.13|9.01|12.243|8.91088996916431|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|2013|Chlorophyll a uncorrected for pheophytin|All|Lab|217|0.7|35.59|8.09|9.71700460829493|7.08368932209874|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|2014|Chlorophyll a uncorrected for pheophytin|All|Lab|79|1.7|28|7.3|10.8367088607595|7.73321469651247|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2015|Chlorophyll a uncorrected for pheophytin|All|Lab|233|2|47|11|12.4815450643777|7.2829781007689|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2016|Chlorophyll a uncorrected for pheophytin|All|Lab|233|0.75|29|10|10.3942060085837|6.17624923776824|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2017|Chlorophyll a uncorrected for pheophytin|All|Lab|232|2.3|40|12|12.8995689655172|7.1392306680776|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2018|Chlorophyll a uncorrected for pheophytin|All|Lab|188|0.4|56|12|13.7033510638298|10.0493144440743|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2019|Chlorophyll a uncorrected for pheophytin|All|Lab|207|1.5|32|11|11.4903381642512|5.31359342891496|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|2021|Chlorophyll a uncorrected for pheophytin|All|Lab|20|1.8|35|5.05|8.48|9.11156581378565|EPA STOrage and RETrieval Data Warehouse (STORET)|103
3|Apalachicola National Estuarine Research Reserve|2000|Chlorophyll a uncorrected for pheophytin|All|Lab|3|4.16066|4.161|4.1607|4.16078666666667|0.000185831464863239|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
3|Apalachicola National Estuarine Research Reserve|2001|Chlorophyll a uncorrected for pheophytin|All|Lab|3|7.7708|7.771|7.77083|7.77087666666667|0.000107857931248877|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
3|Apalachicola National Estuarine Research Reserve|2002|Chlorophyll a uncorrected for pheophytin|All|Lab|4|1.535|11.87|6.7025|6.7025|5.96691503207478|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
3|Apalachicola National Estuarine Research Reserve|2004|Chlorophyll a uncorrected for pheophytin|All|Lab|4|5.379|9.9415|7.66025|7.66025|2.63416060317767|Environmental Monitoring Assessment Program, EPA STOrage and RETrieval Data Warehouse (STORET)|103, 115
3|Apalachicola National Estuarine Research Reserve|2005|Chlorophyll a uncorrected for pheophytin|All|Lab|2|4.56|11.65|8.105|8.105|5.01338707861262|EPA STOrage and RETrieval Data Warehouse (STORET)|103
3|Apalachicola National Estuarine Research Reserve|2006|Chlorophyll a uncorrected for pheophytin|All|Lab|1|4.205|4.205|4.205|4.205||EPA STOrage and RETrieval Data Warehouse (STORET)|103
3|Apalachicola National Estuarine Research Reserve|2007|Chlorophyll a uncorrected for pheophytin|All|Lab|5|2|7.2|3.9|4.38|2.42528348858438|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2008|Chlorophyll a uncorrected for pheophytin|All|Lab|19|2.1|13|3|4.85263157894737|3.57310453574924|Florida STORET / WIN|5002
