ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Big Bend Seagrasses Aquatic Preserve|514|Florida LAKEWATCH Program|Wakulla-Wakulla River-3-1|2016-03-25|2016-09-14|7|0.000019|0.000029|0.000025|0.0000244285714285714|0.00000345722156541651
Big Bend Seagrasses Aquatic Preserve|514|Florida LAKEWATCH Program|Wakulla-Wakulla River Middle-2-1|2000-11-30|2018-08-17|41|0.000017|0.000048|0.000027|0.000027390243902439|0.00000471104048369619
Big Bend Seagrasses Aquatic Preserve|514|Florida LAKEWATCH Program|Wakulla-Wakulla River Middle-3-1|2000-03-24|2010-09-20|16|0.000018|0.000037|0.000025|0.000024875|0.00000488364617882991
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3528|2000-03-13|2000-03-13|1|0.045|0.045|0.045|0.045|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9683|2001-10-22|2001-10-22|2|0.023|0.025|0.024|0.024|0.0014142135623731
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9693|2001-10-03|2002-04-09|6|0.041|0.048|0.044|0.0441666666666667|0.00263944438597722
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9695|2001-09-27|2001-09-27|2|0.03|0.032|0.031|0.031|0.0014142135623731
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9717|2001-09-25|2001-09-25|2|0.046|0.051|0.0485|0.0485|0.00353553390593274
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLGW_6976|2020-02-05|2020-02-05|1|0.11|0.11|0.11|0.11|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_9717|2021-03-29|2021-03-29|1|0.049|0.049|0.049|0.049|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0001|2016-08-03|2016-08-03|1|0.059|0.059|0.059|0.059|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0019|2018-04-11|2018-11-20|5|0.058|0.12|0.11|0.0952|0.0261380948043273
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0031|2018-02-13|2018-02-13|1|0.02|0.02|0.02|0.02|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0032|2018-04-03|2019-01-08|2|0.047|0.052|0.0495|0.0495|0.00353553390593274
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0043|2018-03-27|2019-01-28|2|0.012|0.04|0.026|0.026|0.0197989898732233
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0044|2018-07-19|2018-07-19|1|0.058|0.058|0.058|0.058|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G1TLHR0091|2020-01-14|2020-01-14|1|0.031|0.031|0.031|0.031|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_HAB_072820_0001|2020-07-28|2020-07-28|1|0.08|0.08|0.08|0.08|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLWQA_44059|2018-04-19|2021-10-18|6|0.028|0.032|0.0295|0.0296666666666667|0.00163299316185545
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLWQA_G1WA0008|2017-12-19|2017-12-19|1|0.021|0.021|0.021|0.021|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLWQA_G1WA0011|2017-10-11|2017-10-11|1|0.022|0.022|0.022|0.022|
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_127860|2020-11-19|2020-11-19|1|0.0361|0.0361|0.0361|0.0361|
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_127861|2019-12-18|2021-03-11|3|0.0213|0.14|0.0507|0.0706666666666667|0.0618176619853366
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_127878|2020-11-19|2020-11-19|1|0.0921|0.0921|0.0921|0.0921|
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_127942|2019-12-18|2021-03-11|2|0.0324|0.04|0.0362|0.0362|0.00537401153701776
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_127946|2020-09-17|2020-09-17|1|0.0975|0.0975|0.0975|0.0975|
Big Bend Seagrasses Aquatic Preserve|477|Suwannee River Water Management District Water Resource Monitoring Program|WIN_21FLSUW_129841|2020-02-13|2020-02-13|1|0.1875|0.1875|0.1875|0.1875|
Cape Haze Aquatic Preserve|476|Charlotte Harbor Estuaries Volunteer Water Quality Monitoring Network|WIN_21FLCHAR_CHWW1|2021-06-15|2021-11-02|3|0.062|0.31|0.14|0.170666666666667|0.126812197100016
Cape Haze Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLFTM_G2SD0029|2020-07-27|2020-07-27|1|0.042|0.042|0.042|0.042|
Cape Haze Aquatic Preserve|479|Southwest Florida Water Management District - Water Quality Monitoring|670095|2008-05-13|2015-04-07|16|0.025|0.428|0.144|0.196125|0.121547727251479
Cape Haze Aquatic Preserve|479|Southwest Florida Water Management District - Water Quality Monitoring|670102|2010-10-12|2015-05-18|8|0.074|0.419|0.1485|0.179125|0.114076963368721
Cape Haze Aquatic Preserve|479|Southwest Florida Water Management District - Water Quality Monitoring|670110|2008-11-05|2014-04-15|6|0.023|0.039|0.0305|0.0308333333333333|0.006735478206235
