ManagedAreaName|Month|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Alligator Harbor Aquatic Preserve|1|256|6.9|19.8|14.1|14.149609375|3.04903620962396|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|2|500|9.9|21.8|15.45|15.55434|2.51511283037143|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|3|362|10.7|29.5|18.1|18.0597513812155|3.05211269529427|69, 95, 469, 557, 5002
Alligator Harbor Aquatic Preserve|4|598|13.7|27.5|22.2|22.0020066889632|2.80383130792587|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|5|501|20|30|25.5|25.434131736527|1.99373335594577|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|6|722|25.6|33.6|28.9|28.9267313019391|1.23574483868718|69, 95, 469, 557, 558, 5002
Alligator Harbor Aquatic Preserve|7|740|24.59|41.7|29.9|29.8291891891892|1.60626400406737|69, 95, 469, 557, 558, 5002
Alligator Harbor Aquatic Preserve|8|469|9.8|34|30.2|30.2496801705757|1.62686608962107|69, 95, 469, 557, 558, 5002
Alligator Harbor Aquatic Preserve|9|646|23.5|32|28|27.8876160990712|1.60587145980456|69, 95, 469, 557, 558, 5002
Alligator Harbor Aquatic Preserve|10|453|15.6|33.5|24.9|24.4412803532009|2.71239291921715|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|11|288|12.2|24.5|18.5|18.8385416666667|2.26978501146206|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|12|309|10.7|29.1|15.9|17.1653721682848|3.54949213588781|69, 95, 469, 5002
Apalachicola Bay Aquatic Preserve|1|2851|1.2|28|13.2|13.2023956506489|3.17260557800384|69, 95, 129, 355, 5002
Apalachicola Bay Aquatic Preserve|2|2889|7|26.6|14.5|14.5242990654206|2.8445052126844|69, 95, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|3|3444|8.9|29|17.9|17.7233565621371|2.84150651576909|69, 95, 129, 355, 5002
Apalachicola Bay Aquatic Preserve|4|2770|10.2|29.9|21.5|21.4455342960289|2.62687925881467|69, 95, 129, 355, 5002
Apalachicola Bay Aquatic Preserve|5|2757|7.9|32.7|25.6|25.3705114254625|2.21408507208254|69, 95, 129, 355, 456, 557, 5002
Apalachicola Bay Aquatic Preserve|6|3127|2.7|34.3|28.6|28.4854461144867|1.748341207494|69, 95, 119, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|7|3601|3|34.9|29.5|29.3609552901972|1.63736706956641|69, 95, 103, 115, 129, 355, 5002
Apalachicola Bay Aquatic Preserve|8|3561|0.1|33.6|29.7|29.6153608536928|1.50840061152878|69, 95, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|9|3155|15.6|34.4|28.2|28.0130079239303|1.67634886439427|69, 95, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|10|2810|13.2|31.6|24.6|24.0737046263345|2.75362658277508|69, 95, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|11|2783|2.4|27.5|19.1|19.3119439453827|2.80674732520398|69, 95, 129, 355, 456, 5002
Apalachicola Bay Aquatic Preserve|12|2430|4.1|25.3|15.8|15.9043333333333|3.24755474214234|69, 95, 129, 355, 5002
Apalachicola National Estuarine Research Reserve|1|4426|1.2|28|13.1|13.0074604609128|3.11194848604411|69, 95, 129, 355, 5002
Apalachicola National Estuarine Research Reserve|2|4580|6|26.6|14.3|14.4011462882096|2.73076648259032|69, 95, 129, 355, 456, 5002
Apalachicola National Estuarine Research Reserve|3|5383|8|29|17.8|17.6399647036968|2.80449071498505|69, 95, 129, 355, 456, 5002
Apalachicola National Estuarine Research Reserve|4|4432|10.2|30.3|21.5|21.4068998194946|2.48951889153984|69, 95, 129, 355, 5002
Apalachicola National Estuarine Research Reserve|5|4233|7.9|32.7|25.6|25.352357665958|2.1268280955983|69, 95, 129, 355, 456, 557, 5002
Apalachicola National Estuarine Research Reserve|6|4407|2.7|36.6|28.6|28.5229725436805|1.72461348171053|69, 95, 119, 129, 355, 456, 557, 558, 5002
