ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Data|N_Years|EarliestLiveDate|LatestLiveDate|LastSampleDate|Mean|Median
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|8|4|1969|1993|2018-10-03T22:39:30Z|82.1125|81.455
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1354|9|1969|2002|2018-10-03T22:39:30Z|37.5862850812408|35.435
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|21|3|2013|2016|2016-11-15T00:00:00Z|87.0952380952381|84
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|254|4|2017|2021|2021-12-02T00:00:00Z|85.3385826771654|82
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|256|4|2013|2017|2017-08-29T00:00:00Z|42.195703125|40
Apalachicola Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|4010|4|2017|2021|2021-12-02T00:00:00Z|39.3134663341646|35
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|46|7|1969|2011|2018-10-03T22:39:30Z|83.5839130434783|82.135
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|2019|13|1969|2011|2018-10-03T22:39:30Z|39.0916790490342|36.69
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|36|4|2013|2017|2017-08-29T00:00:00Z|86.2111111111111|84
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|254|4|2017|2021|2021-12-02T00:00:00Z|85.3385826771654|82
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|723|5|2013|2019|2019-12-17T00:00:00Z|39.5919778699862|38
Apalachicola National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|4010|4|2017|2021|2021-12-02T00:00:00Z|39.3134663341646|35
Big Bend Seagrasses Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|148|8|1960|2011|2018-10-05T20:54:58Z|88.8427027027027|85.2
Big Bend Seagrasses Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1911|8|1960|2011|2018-10-05T20:54:58Z|39.4867922553637|35.71
Boca Ciega Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|9|2|2017|2018|2018-12-31T00:00:00Z|80.3333333333333|80
Boca Ciega Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|701|2|2017|2018|2018-12-31T00:00:00Z|39.981455064194|39
Estero Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|332|23|1970|2013|2018-10-30T18:58:41Z|85.6267469879518|82.875
Estero Bay Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|6086|24|1970|2013|2018-10-30T18:58:41Z|41.5073923759448|38.3
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|62|7|2014|2021|2021-01-15T00:00:00Z|83.9820967741936|81.75
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|47|1|2020|2020|2020-03-04T00:00:00Z|83.3931914893617|80.4
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|2505|8|2014|2021|2021-01-28T00:00:00Z|41.6784790419162|39.7
Estero Bay Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|824|1|2020|2020|2020-03-04T00:00:00Z|42.592572815534|40.34
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|600|8|1998|2012|2018-09-11T22:25:14Z|93.6535833333333|90.715
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1138|8|1998|2012|2018-09-11T22:25:14Z|49.0657908611599|48.35
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|1821|5|2014|2020|2020-02-17T00:00:00Z|89.0912520593081|85.6
Guana River Marsh Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|10159|5|2014|2020|2020-02-17T00:00:00Z|45.5093365488729|43.8
Guana Tolomato Matanzas National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|790|20|1977|2013|2018-09-11T22:25:14Z|92.0285316455696|88.54
Guana Tolomato Matanzas National Estuarine Research Reserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|4169|20|1977|2013|2018-09-11T22:25:14Z|42.6449340369393|39.39
Guana Tolomato Matanzas National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|3603|5|2014|2020|2020-02-17T00:00:00Z|88.397063558146|84.9
Guana Tolomato Matanzas National Estuarine Research Reserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|27155|5|2014|2020|2020-02-17T00:00:00Z|44.3407074203646|42
Indian River-Malabar to Vero Beach Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|7|2|2018|2019|2019-06-06T00:00:00Z|78.7142857142857|78
Indian River-Malabar to Vero Beach Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|186|3|2017|2019|2019-06-06T00:00:00Z|44.1424731182796|43
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|60|6|1961|2010|2018-09-13T21:48:45Z|89.2413333333333|85.045
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1095|6|1961|2010|2018-09-13T21:48:45Z|38.6897534246575|34.77
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|49|4|2016|2019|2019-06-14T00:00:00Z|85.5408163265306|84
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|540|4|2016|2019|2019-06-14T00:00:00Z|45.8125|44
