AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|Dissolved Oxygen Saturation|bottom|2002-01-01|2002-12-31|15760|20.7|199.2|96.1|95.5044543147208|18.1623287012142
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|Dissolved Oxygen Saturation|bottom|2003-01-01|2003-12-31|15617|9.9|150.4|94.2|92.5908561183326|20.474771208385
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|Dissolved Oxygen Saturation|bottom|2004-01-01|2004-12-31|15904|9.5|179.7|97.2|97.7232645875252|17.3435107397665
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|Dissolved Oxygen Saturation|bottom|2005-01-01|2005-12-31|15641|23.6|163.2|99|98.1844894827697|15.4679701176957
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2006|Dissolved Oxygen Saturation|bottom|2006-01-01|2006-12-31|17371|28.9|181.2|96.1|94.9505324966899|14.3700122383872
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2007|Dissolved Oxygen Saturation|bottom|2007-01-01|2007-12-31|30300|23.3|199.7|95|94.0102937293729|14.6871158718208
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2008|Dissolved Oxygen Saturation|bottom|2008-01-01|2008-12-31|31449|10.1|222.6|96.5|96.3356768100735|14.3859272345656
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2009|Dissolved Oxygen Saturation|bottom|2009-01-01|2009-12-31|33859|16.1|170.5|93.8|93.7470185179716|15.3053811498204
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2010|Dissolved Oxygen Saturation|bottom|2010-01-01|2010-12-31|31462|12.4|140.2|95.3|94.3188894539444|14.0260792347648
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2011|Dissolved Oxygen Saturation|bottom|2011-01-04|2011-12-31|28842|21|131|96.1|94.3442341030442|13.027728169684
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2012|Dissolved Oxygen Saturation|bottom|2012-01-01|2012-12-31|31538|30.7|127.4|95.6|95.1174139133743|10.7383588638359
2|Apalachicola Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2013|Dissolved Oxygen Saturation|bottom|2013-01-01|2013-12-31|34252|2.5|128.3|93.2|91.6368299661334|14.2765985314155
