AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2003|10|Turbidity|surface|2003-10-13|2003-10-13|1|6.68|6.68|6.68|6.68|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2003|11|Turbidity|surface|2003-11-13|2003-11-13|1|9|9|9|9|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2003|12|Turbidity|surface|2003-12-08|2003-12-08|1|8.06|8.06|8.06|8.06|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|1|Turbidity|surface|2004-01-20|2004-01-20|1|13.3|13.3|13.3|13.3|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|2|Turbidity|surface|2004-02-09|2004-02-09|1|11.1|11.1|11.1|11.1|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|3|Turbidity|surface|2004-03-11|2004-03-11|1|7.5|7.5|7.5|7.5|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|4|Turbidity|surface|2004-04-20|2004-04-20|1|9.95|9.95|9.95|9.95|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|5|Turbidity|surface|2004-05-11|2004-05-11|1|8.39|8.39|8.39|8.39|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|6|Turbidity|surface|2004-06-14|2004-06-14|1|3.28|3.28|3.28|3.28|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|7|Turbidity|surface|2004-07-15|2004-07-15|1|4.37|4.37|4.37|4.37|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|8|Turbidity|surface|2004-08-10|2004-08-10|1|5.86|5.86|5.86|5.86|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|9|Turbidity|surface|2004-09-23|2004-09-23|1|8.96|8.96|8.96|8.96|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|10|Turbidity|surface|2004-10-12|2004-10-12|1|2.29|2.29|2.29|2.29|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|11|Turbidity|surface|2004-11-16|2004-11-16|1|7.16|7.16|7.16|7.16|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|12|Turbidity|surface|2004-12-16|2004-12-16|1|10.2|10.2|10.2|10.2|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|1|Turbidity|surface|2005-01-10|2005-01-10|1|7|7|7|7|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|2|Turbidity|surface|2005-02-15|2005-02-15|1|3.82|3.82|3.82|3.82|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|3|Turbidity|surface|2005-03-15|2005-03-15|1|4.7|4.7|4.7|4.7|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|4|Turbidity|surface|2005-04-14|2005-04-28|2|2.915|3.7|3.3075|3.3075|0.55507882323144
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|5|Turbidity|surface|2005-05-17|2005-05-17|1|2.56|2.56|2.56|2.56|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|8|Turbidity|surface|2008-08-26|2008-08-28|2|2.3|2.71|2.505|2.505|0.289913780286485
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|9|Turbidity|surface|2008-09-03|2008-09-29|4|3.98|6.495|5.26|5.24875|1.08519103540959
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|10|Turbidity|surface|2008-10-09|2008-10-27|4|5.025|7.39|5.5025|5.855|1.06206559747189
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|11|Turbidity|surface|2008-11-11|2008-11-24|3|1.72|3.48|2.52|2.57333333333333|0.881211287565776
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|12|Turbidity|surface|2008-12-04|2008-12-30|5|1.97|12.6|2.74|5.686|4.64597998273777
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|1|Turbidity|surface|2009-01-08|2009-01-27|4|4.295|8.315|5.93|6.1175|1.88333259587006
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|2|Turbidity|surface|2009-02-10|2009-02-10|1|5.815|5.815|5.815|5.815|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|3|Turbidity|surface|2009-03-05|2009-03-05|1|2.375|2.375|2.375|2.375|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|4|Turbidity|surface|2009-04-09|2009-04-09|1|2.32|2.32|2.32|2.32|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|5|Turbidity|surface|2009-05-07|2009-05-07|1|1.51|1.51|1.51|1.51|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|6|Turbidity|surface|2009-06-03|2009-06-03|1|1.875|1.875|1.875|1.875|
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|7|Turbidity|surface|2009-07-09|2009-07-09|1|5.125|5.125|5.125|5.125|
