AreaID|ManagedAreaName|Year|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|2013|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|5|76|93|82|85|7.64852927038918|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2013|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|47|27|69|43|44.1914893617021|11.1054986338972|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2013|ShellHeight_mm|Live Oyster Shells||Natural|58|2|24|12|11.3275862068966|6.21370282869363|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2014|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|12|76|133|84.5|90.8333333333333|16.0784063736165|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2014|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|38|25|72|36|38.7631578947368|12.3122312521666|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2014|ShellHeight_mm|Live Oyster Shells||Natural|143|3|24|16|15.8601398601399|4.40965873068954|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|2016|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|4|75|84|77.5|78.5|4.35889894354067|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063
2|Apalachicola Bay Aquatic Preserve|2016|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|170|25|74|40|42.3764705882353|11.7694584900928|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063
2|Apalachicola Bay Aquatic Preserve|2016|ShellHeight_mm|Live Oyster Shells||Natural|186|6|24|15|14.5537634408602|4.56067939793671|Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery|5063
2|Apalachicola Bay Aquatic Preserve|2017|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|1|48.1|48.1|48.1|48.1||Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5071
