AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Data|N_Years|EarliestLiveDate|LatestLiveDate|LastSampleDate|Mean|Median|ProgramNames|Intercept|ModelEstimate|StandardError|LowerConfidence|UpperConfidence
1|Alligator Harbor Aquatic Preserve|||||||||||||||||
2|Apalachicola Bay Aquatic Preserve|Density|Live Oyster Shells||Natural|235|6|2010|2016|2016-11-16T00:00:00Z|39.6553191489362|1|5063, 5073|14.1386701038231|-0.262146375101199|0.0954748489313628|-0.445235475|-0.078232595
2|Apalachicola Bay Aquatic Preserve|Density|Live Oyster Shells||Restored|1680|5|2016|2021|2021-12-03T00:00:00Z|51.1142857142857|12||||||
2|Apalachicola Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|41|2|2018|2019|2019-10-31T00:00:00Z|2.82926829268293|0||||||
2|Apalachicola Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Restored|1164|5|2016|2021|2021-12-03T00:00:00Z|0.810833809536083|0.8928205||||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|8|4|1969|1993|2018-10-03T22:39:30Z|82.1125|81.455|5035|79.0509084932534|-13.2311236991353|31.7773987831628|-120.405425|6.21979199999991
2|Apalachicola Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|1354|9|1969|2002|2018-10-03T22:39:30Z|37.5862850812408|35.435||||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|21|3|2013|2016|2016-11-15T00:00:00Z|87.0952380952381|84||||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Restored|254|4|2017|2021|2021-12-02T00:00:00Z|85.3385826771654|82||||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|256|4|2013|2017|2017-08-29T00:00:00Z|42.195703125|40||||||
2|Apalachicola Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Restored|4010|4|2017|2021|2021-12-02T00:00:00Z|39.3134663341646|35||||||
3|Apalachicola National Estuarine Research Reserve|Density|Live Oyster Shells||Natural|367|7|2010|2019|2019-12-16T00:00:00Z|114.098092643052|1|5063, 5075, 5073|12.0098119182909|-0.196205947698913|0.0722353108325658|-0.343942|-0.0537725650000001
3|Apalachicola National Estuarine Research Reserve|Density|Live Oyster Shells||Restored|1680|5|2016|2021|2021-12-03T00:00:00Z|51.1142857142857|12||||||
3|Apalachicola National Estuarine Research Reserve|Percent Live|Live Oyster Shells||Natural|79|2|2018|2019|2019-10-31T00:00:00Z|8.9873417721519|4||||||
3|Apalachicola National Estuarine Research Reserve|Percent Live|Live Oyster Shells||Restored|1164|5|2016|2021|2021-12-03T00:00:00Z|0.810833809536083|0.8928205||||||
3|Apalachicola National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|>75mm|Natural|46|7|1969|2011|2018-10-03T22:39:30Z|83.5839130434783|82.135|5035|80.1340143928036|-46.7141810686228|229.58482749355|-460.114125|19.899527499999
3|Apalachicola National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|2019|13|1969|2011|2018-10-03T22:39:30Z|39.0916790490342|36.69||||||
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|>75mm|Natural|36|4|2013|2017|2017-08-29T00:00:00Z|86.2111111111111|84|5063, 5071, 5073|440.718001465517|-7.54751346112444|7.71198847411048|-23.651885|7.7847685
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|>75mm|Restored|254|4|2017|2021|2021-12-02T00:00:00Z|85.3385826771654|82||||||
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|25-75mm|Natural|723|5|2013|2019|2019-12-17T00:00:00Z|39.5919778699862|38|5063, 5071, 5075, 5073|129.516528577642|-2.19925193374063|3.87058904319508|-10.057145|5.59800849999999
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|25-75mm|Restored|4010|4|2017|2021|2021-12-02T00:00:00Z|39.3134663341646|35||||||
4|Banana River Aquatic Preserve|||||||||||||||||
