ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Alligator Harbor Aquatic Preserve|1998-08-14|2022-02-18|4228|4.7|9.5|8.1|8.06283822138127|0.518125029860666|-0.2601|-0.0195238095238095|42.5235294117646|0|-1
Apalachicola Bay Aquatic Preserve|1964-09-23|2022-01-06|29954|3.81|10.6|8|7.89826867864058|0.451746733761042|-0.0626|0|8.05|0|-1
Apalachicola National Estuarine Research Reserve|1964-09-23|2022-01-12|45869|3.5|12.7|8|7.88970633761364|0.453156996288533|-0.0743|-0.00230769230769233|8.05|0|-1
Banana River Aquatic Preserve|1990-03-27|2021-12-15|20668|0.6|8311|8.2|8.44197014660345|57.7652727069997|-0.0759|-0.00187500000000007|15.0308686111111|0|-1
Big Bend Seagrasses Aquatic Preserve|1964-10-08|2022-01-26|80689|3.3|10.5|8|7.93708010385554|0.330329787767982|-0.0443|0|8|0|-1
Biscayne Bay Aquatic Preserve|1970-10-01|2021-08-17|3540|5.4|8.9|7.95|7.89338646892655|0.291973143644647|-0.0137|-0.00124999999999975|9.36999999999997|0.0768|0
Boca Ciega Bay Aquatic Preserve|1974-02-25|2021-12-16|16132|0|10.99|8.1|8.08386250929829|0.346300571380367|-0.0109|0|8.1|0.3225|0
Cape Haze Aquatic Preserve|1989-04-05|2021-06-07|6975|4.9|11.96|8|8.00377347670251|0.300079972634098|-0.0078|0|8|0.1721|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|1956-03-22|2021-11-17|4263|4|9.1|7.8|7.80003518648839|0.534333471031154|-0.2472|-0.0139130434782608|40.3947826086957|0|-1
Cockroach Bay Aquatic Preserve|1989-04-19|2021-10-25|14349|2.6|10|7.6|7.56929402745836|0.436658079030797|-0.1284|-0.0105555555555555|38.8809890109891|0|-1
Estero Bay Aquatic Preserve|1991-02-27|2022-01-03|7613|5.3|9.58|7.9|7.84159989491659|0.276960909538685|-0.088|-0.00299999999999994|14.7508173076922|0|-1
Florida Keys National Marine Sanctuary|1970-10-01|2021-12-28|3549|0|9.5|8.02|7.89665821358129|1.02679752392248|-0.0658|-0.00181818181818178|12.7670833333332|0|-1
Fort Clinch State Park Aquatic Preserve|1994-08-11|2021-11-18|803|4.7|9.3|7.8|7.74622665006227|0.415253530629614|0.0093|0|7.8|0.8008|0
Fort Pickens State Park Aquatic Preserve|1991-07-19|2019-09-27|761|6.49|9.5|8.1|8.11570302233903|0.268606170528744|-0.0247|0|8.0675|0.5087|0
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1955-03-28|2022-01-03|34854|4.04|16.95|7.9|7.88603546221381|0.310863889589399|0.0263|0|7.9|0|-1
Guana River Marsh Aquatic Preserve|1995-01-10|2021-12-01|5312|0.73|9|7.7|7.32091805534639|1.60783714865665|-0.1815|-0.014|35.4769676086956|0|-1
Guana Tolomato Matanzas National Estuarine Research Reserve|1995-01-09|2022-01-12|14866|0.73|9|7.8|7.56339895398897|1.29124291690889|-0.1997|-0.0142857142857142|36.4014285714285|0|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|1980-12-04|2021-10-18|38932|0|9.59|8|7.80285710007192|1.20222773684662|-0.1504|-0.0108333333333333|30.3294444444448|0|-1
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1992-01-29|2021-10-14|5345|0.77|9.5|8.03|7.9091088362956|1.01345296633252|-0.128|-0.00647058823529408|18.8092105263158|0|-1
Jensen Beach to Jupiter Inlet Aquatic Preserve|1972-11-17|2021-12-29|6521|5.2|9.6|8.1|8.04985339671829|0.30450260051255|-0.1231|-0.00571428571428572|19.5964705882352|0|-1
Lemon Bay Aquatic Preserve|1955-03-25|2022-01-03|7485|4.8|12.1|8|7.95206145624583|0.360844163575045|0.0773|0|7.95|0|-1
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1991-01-24|2021-12-29|7462|5|53.5|7.75|7.70567381399089|0.610628068461205|0.0012|0.00090909090909089|7.15468749999996|0.0337|1
