ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Alligator Harbor Aquatic Preserve|2001-06-16|2019-10-15|678|0|47|5|7.74144542772861|7.21323514627464|0.1885|0.153846153846154|-339.1|0|1
Apalachicola Bay Aquatic Preserve|2005-12-31|2019-12-04|2838|0.4|94.1|11|12.7556560958421|8.70016775253351|-0.0193|-0.06|127.296|0.0398|-1
Apalachicola National Estuarine Research Reserve|2000-12-31|2019-12-04|3420|0.4|100|9.8|11.6650801169591|8.59694994605514|0.0098|0|-14.4|0.7263|0
Big Bend Seagrasses Aquatic Preserve|1990-02-09|2019-10-22|3633|0|95|1|2.92747233691164|6.11099004411211|-0.0672|0|1|0|-1
Biscayne Bay Aquatic Preserve|2000-09-21|2020-07-07|446|0|25|1.32|2.5832533632287|3.6121051599067|0.0327|0.00399999999999998|24.4306060606061|0.3294|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|1994-09-28|2017-05-23|393|0.1844|20.7793|2.9329|3.82264783715013|2.92338672704605|0.075|0.04125|-66.6063325|0.0475|1
Cockroach Bay Aquatic Preserve|1999-01-20|2017-06-26|675|0.3|179.5|8.7|12.5482933333333|15.0383117488325|-0.0204|-0.0333333333333332|308.221875|0.4646|0
Coupon Bight Aquatic Preserve|1995-03-23|2011-07-14|61|0.01260128|0.9928429|0.20439494|0.25047174442623|0.177814725690808|-0.0294|-0.00366114923076923|1.23763791741477|0.3537|0
Estero Bay Aquatic Preserve|2000-02-07|2018-06-20|143|0.015|23.6|3.1|4.26265734265734|3.87544276453616|0.3467|0.320555555555556|-697.630625|0|2
Florida Keys National Marine Sanctuary|1995-03-22|2020-12-16|15933|0|39|0.26533223|0.438242412697546|0.841212621027168|0.0674|0.00308876142857143|-5.85250926|0|1
Fort Pickens State Park Aquatic Preserve|1998-09-15|2012-09-25|190|0.4|14.8|5|4.76415789473684|1.62618880448963|-0.2417|0|5|0|-1
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1997-01-21|2016-07-14|488|0.015|137|4.815|8.30311270491803|11.9412027040023|-0.1594|-0.228888888888889|312.8835|0|-1
Jensen Beach to Jupiter Inlet Aquatic Preserve|1997-09-08|2019-10-16|301|0.7|42.37|2.4|4.36338870431894|5.45789792976551|-0.1403|-0.0285714285714286|164.465|0.0019|-1
Lemon Bay Aquatic Preserve|1999-06-07|2017-03-13|74|0.5|119|2.275|4.14959459459459|13.6489211214147|0.2629|0.159166666666667|-201.23125|0.0006|1
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1997-09-08|2019-12-17|3138|0.99949|159.8|5.6|7.74348366475462|8.59766235277659|0.0286|0.0375000000000001|-54.0250000000001|0.0008|1
Matlacha Pass Aquatic Preserve|1999-02-01|2022-01-11|180|0.5|48|4.5|6.77950555555556|6.58691831922205|0.1434|0.085952380952381|-97.4225000000001|0.0083|1
Pine Island Sound Aquatic Preserve|1999-02-01|2008-02-04|148|0.015|25|3|5.06516891891892|5.48289937127155|-0.1235|-0.04|482.653333333333|0.4465|0
Pinellas County Aquatic Preserve|1999-01-05|2019-09-17|1267|0|190|7|14.3835974743489|24.121897651614|0.1623|0.25|-551.498857142857|0|1
Rocky Bayou State Park Aquatic Preserve|2001-01-22|2019-10-15|386|0|47|3.5|4.60440414507772|4.66242278943162|0.0235|0|3|0.4879|0
Rookery Bay Aquatic Preserve|1999-01-26|2017-05-23|604|0.1947|28.298|4.8343|5.92828311258278|4.24370688003948|0.023|0.01585|-18.9233334615384|0.2752|0
Rookery Bay National Estuarine Research Reserve|1994-09-28|2017-05-23|1021|0.1844|28.298|4|5.1566930460333|3.94791168913595|0.1601|0.124133333333333|-217.0174125|0|1
St. Andrews State Park Aquatic Preserve|1990-02-11|2019-10-21|666|0|37|1|1.98443543543544|2.35123030463824|-0.1878|-0.0261204013377926|85.8741666666667|0|-1
St. Joseph Bay Aquatic Preserve|2001-05-14|2019-10-02|697|0|45|2|2.32441893830703|2.79364107303143|0.0341|0|2|0.2435|0
Terra Ceia Aquatic Preserve|2001-01-23|2017-01-17|69|1.3|19|4.4|6.05217391304348|4.16687245868607|0.126|0.05|3.1|0.0727|0
