AreaID|ManagedAreaName|Year|Month|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|2018|10|PercentLive_pct|Live Oyster Shells||Natural|15|0|22|6|7.46666666666667|5.986492732652|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2019|10|PercentLive_pct|Live Oyster Shells||Natural|26|0|3|0|0.153846153846154|0.612686392361227|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2020|12|PercentLive_pct|Live Oyster Shells||Natural|35|0|15|0|1.85714285714286|3.48224789757537|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2021|11|PercentLive_pct|Live Oyster Shells||Natural|28|0|8|0.5|1.46428571428571|2.21914469438186|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2023|1|PercentLive_pct|Live Oyster Shells||Natural|15|0|0|0|0|0|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2023|2|PercentLive_pct|Live Oyster Shells||Natural|20|5|37|13.5|16.15|9.40478601564119|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2018|10|PercentLive_pct|Live Oyster Shells||Natural|35|0|59|10|17.0571428571429|15.270006851462|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2019|10|PercentLive_pct|Live Oyster Shells||Natural|44|0|19|0|2.56818181818182|4.72203014712522|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2020|12|PercentLive_pct|Live Oyster Shells||Natural|55|0|15|1|2.78181818181818|3.83787609613611|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2021|11|PercentLive_pct|Live Oyster Shells||Natural|38|0|14|1.5|2.47368421052632|3.33480290033283|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2023|1|PercentLive_pct|Live Oyster Shells||Natural|45|0|24|3|4.82222222222222|6.09876622727495|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2023|2|PercentLive_pct|Live Oyster Shells||Natural|20|5|37|13.5|16.15|9.40478601564119|Apalachicola Intertidal Oyster Project|5010
8|Boca Ciega Bay Aquatic Preserve|2017|12|PercentLive_pct|Live Oyster Shells||Natural|15|7.27273|35.4545|15.4545|18.7777786666667|9.75570974412777|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
8|Boca Ciega Bay Aquatic Preserve|2018|12|PercentLive_pct|Live Oyster Shells||Natural|15|0|49|31|26.8|16.7084238805289|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020
14|Estero Bay Aquatic Preserve|2016|2|PercentLive_pct|Live Oyster Shells||Natural|2|2|53.5|27.75|27.75|36.4159992311072|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2016|3|PercentLive_pct|Live Oyster Shells||Natural|1|26.25|26.25|26.25|26.25||Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2016|4|PercentLive_pct|Live Oyster Shells||Natural|2|24.25|25.75|25|25|1.06066017177982|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2016|6|PercentLive_pct|Live Oyster Shells||Natural|2|66.25|67|66.625|66.625|0.530330085889911|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2017|10|PercentLive_pct|Live Oyster Shells||Natural|1|22.5|22.5|22.5|22.5||Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2018|1|PercentLive_pct|Live Oyster Shells||Natural|7|8|68.5|19.75|27.1785714285714|19.9706630073311|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2018|2|PercentLive_pct|Live Oyster Shells||Natural|1|41.75|41.75|41.75|41.75||Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2018|6|PercentLive_pct|Live Oyster Shells||Natural|1|18|18|18|18||Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2019|1|PercentLive_pct|Live Oyster Shells||Natural|5|5|39.25|10.5|17.75|14.8197503352789|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2019|2|PercentLive_pct|Live Oyster Shells||Natural|3|7.5|49.25|26.25|27.6666666666667|20.9110218146635|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2020|1|PercentLive_pct|Live Oyster Shells||Natural|7|4|73|36.5|39|21.016362672927|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2020|3|PercentLive_pct|Live Oyster Shells||Restored|30|0|92.1875|63.49385|57.7237633333333|22.3036420489861|SCCF Oyster Restoration Monitoring|4012
14|Estero Bay Aquatic Preserve|2021|1|PercentLive_pct|Live Oyster Shells||Natural|8|5.25|51.75|24.125|27.15625|13.3556686065719|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2022|1|PercentLive_pct|Live Oyster Shells||Natural|7|12.25|47.25|24|26.0357142857143|12.524499799916|Estero Bay Oyster Monitoring|4042
14|Estero Bay Aquatic Preserve|2022|2|PercentLive_pct|Live Oyster Shells||Natural|1|11|11|11|11||Estero Bay Oyster Monitoring|4042
19|Guana River Marsh Aquatic Preserve|2014|5|PercentLive_pct|Live Oyster Shells||Natural|22|9|32.5|27.5|23.6818181818182|7.66647844677671|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2014|6|PercentLive_pct|Live Oyster Shells||Natural|12|7|23|11|13.3333333333333|5.54868261733168|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2014|10|PercentLive_pct|Live Oyster Shells||Natural|20|1|25|14.5|14|5.43865308402927|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|1|PercentLive_pct|Live Oyster Shells||Natural|38|5|44|29|27.2368421052632|9.34455820981161|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|2|PercentLive_pct|Live Oyster Shells||Natural|24|5|29|20|20.2916666666667|6.01793816104361|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|6|PercentLive_pct|Live Oyster Shells||Natural|35|4|64|23|22.7428571428571|11.8553608056412|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|7|PercentLive_pct|Live Oyster Shells||Natural|48|7|44|20|20.8333333333333|10.0601030689981|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|8|PercentLive_pct|Live Oyster Shells||Natural|6|6|22|10|11.5|5.50454357780915|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|9|PercentLive_pct|Live Oyster Shells||Natural|6|14|22|17|17.1666666666667|2.78687399547713|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2015|12|PercentLive_pct|Live Oyster Shells||Natural|17|21|49|31|31.4117647058824|7.56685885563993|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2016|1|PercentLive_pct|Live Oyster Shells||Natural|3|11|50|25|28.6666666666667|19.7568553503166|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2016|2|PercentLive_pct|Live Oyster Shells||Natural|30|28|56|40|41.0666666666667|7.84739505794135|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2016|7|PercentLive_pct|Live Oyster Shells||Natural|117|0|57|17|17.5299145299145|13.4578349501083|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
19|Guana River Marsh Aquatic Preserve|2016|8|PercentLive_pct|Live Oyster Shells||Natural|60|6|62|27|27.7666666666667|10.6506412103728|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2016|9|PercentLive_pct|Live Oyster Shells||Natural|48|11|56|31|32.2083333333333|9.40339081742582|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2018|8|PercentLive_pct|Live Oyster Shells||Natural|18|1|57|30|28.6111111111111|18.4650349671987|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2018|9|PercentLive_pct|Live Oyster Shells||Natural|18|13|37|29|29.0555555555556|6.1306579842837|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2018|10|PercentLive_pct|Live Oyster Shells||Natural|18|13|37|25.5|24.8333333333333|6.75843699299145|Guana Tolomato Matanzas NERR Oyster monitoring|4000
19|Guana River Marsh Aquatic Preserve|2020|2|PercentLive_pct|Live Oyster Shells||Natural|42|17|64|36|37.0714285714286|11.896695292602|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|5|PercentLive_pct|Live Oyster Shells||Natural|67|7|32.5|16|17.3283582089552|6.94979411009941|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|6|PercentLive_pct|Live Oyster Shells||Natural|41|0|35|9|10.7560975609756|7.00992327991141|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|7|PercentLive_pct|Live Oyster Shells||Natural|69|8|37|18|17.2898550724638|5.80403371213747|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|10|PercentLive_pct|Live Oyster Shells||Natural|20|1|25|14.5|14|5.43865308402927|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|1|PercentLive_pct|Live Oyster Shells||Natural|119|5|68|25|26.1344537815126|12.6255890077389|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|2|PercentLive_pct|Live Oyster Shells||Natural|30|5|29|19|19.5333333333333|6.40976266887194|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|6|PercentLive_pct|Live Oyster Shells||Natural|116|4|64|25|25.5862068965517|11.2497876041919|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|7|PercentLive_pct|Live Oyster Shells||Natural|102|7|44|20|21.7941176470588|9.16011396368005|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|8|PercentLive_pct|Live Oyster Shells||Natural|36|0|49|7|13.2222222222222|15.7554727201351|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|9|PercentLive_pct|Live Oyster Shells||Natural|6|14|22|17|17.1666666666667|2.78687399547713|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|12|PercentLive_pct|Live Oyster Shells||Natural|58|7|55|34|34.7413793103448|11.4945606431875|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|1|PercentLive_pct|Live Oyster Shells||Natural|33|11|64|35|34.5151515151515|13.0506733833|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|2|PercentLive_pct|Live Oyster Shells||Natural|54|13|56|37|36.5555555555556|10.5466916330438|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|3|PercentLive_pct|Live Oyster Shells||Natural|43|9|47|27|26.7906976744186|9.03052532231095|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|6|PercentLive_pct|Live Oyster Shells||Natural|35|0|76|29|31.2|19.3083340738108|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|7|PercentLive_pct|Live Oyster Shells||Natural|222|0|57|20|19.5|12.4481731018917|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|8|PercentLive_pct|Live Oyster Shells||Natural|183|6|62|26|25.7267759562842|10.4472349772229|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|9|PercentLive_pct|Live Oyster Shells||Natural|48|11|56|31|32.2083333333333|9.40339081742582|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|12|PercentLive_pct|Live Oyster Shells||Natural|18|16|58|33.5|34|12.579161105481|Guana Tolomato Matanzas NERR Oyster monitoring|4000
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2018|8|PercentLive_pct|Live Oyster Shells||Natural|18|1|57|30|28.6111111111111|18.4650349671987|Guana Tolomato Matanzas NERR Oyster monitoring|4000
