ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|RelativeDepth|Independent|Median|N|EarliestYear|LatestYear|tau|p|SennSlope|SennIntercept|Trend
Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|surface|TRUE|22.2|320|2008|2017|0.0053|0.9509|0|-92.598888888889|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|surface|TRUE|22.95|718|2007|2019|0.0386|0.3429|0.0250000000000004|-240.426666666667|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|surface|TRUE|24.3|653|2008|2019|0.0321|0.5943|0.0200000000000003|-175.900000000001|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|surface|TRUE|22.8|643|2008|2019|0.0265|0.8005|0|-110.341666666669|0
Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|bottom|TRUE|26.8333333333333|6989|2002|2022|0.0776|0|0.0375578703703704|-32.9927546296299|1
Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|bottom|TRUE|26.8947916666667|7084|2002|2022|0.1283|0|0.0610677083333333|-92.5501844618057|1
Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbmbwq|bottom|TRUE|26.703125|7734|2000|2022|0.0872|0|0.0374999999999999|-41.4436708257019|1
Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbpbwq|bottom|TRUE|27.19375|2110|2016|2022|0.0378|0.008|0.0583333333333326|-65.6595844414901|1
Estero Bay Aquatic Preserve|474|Estero Bay Aquatic Preserve Continuous Water Quality Monitoring|EB02|bottom|TRUE|26.5302083333333|5289|2004|2021|0.1427|0|0.0688060659789383|-95.4519196428573|1
Estero Bay Aquatic Preserve|474|Estero Bay Aquatic Preserve Continuous Water Quality Monitoring|EB03|bottom|TRUE|26.5083333333333|5817|2004|2021|0.0747|0|0.0419270833333334|-56.2465010181697|1
Matlacha Pass Aquatic Preserve|512|Matlacha Pass Aquatic Preserve Continuous Water Quality Monitoring Program|MP1A|bottom|TRUE|26.1010416666667|5048|2005|2019|0.0705|0|0.0460416666666667|-74.2225694444441|1
Matlacha Pass Aquatic Preserve|512|Matlacha Pass Aquatic Preserve Continuous Water Quality Monitoring Program|MP2B|bottom|TRUE|26.0135416666667|5029|2005|2019|0.0759|0|0.048854166666667|-81.6283001893943|1
Matlacha Pass Aquatic Preserve|512|Matlacha Pass Aquatic Preserve Continuous Water Quality Monitoring Program|MP3C|bottom|TRUE|26.659375|4338|2009|2021|0.0927|0|0.0633680555555555|-234.623090277777|1
Pinellas County Aquatic Preserve|5|National Data Buoy Center|CWBF1|surface|TRUE|25.0917724247821|5360|2005|2021|0.0984|0|0.0594880045080392|-133.32746184113|1
Rookery Bay Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkblhwq|bottom|TRUE|26.7197916666667|7321|2001|2022|0.0993|0|0.0451388888888893|-61.4456539351849|1
Rookery Bay National Estuarine Research Reserve|7|National Water Information System|255123081321300|surface|TRUE|22.2|320|2008|2017|0.0053|0.9509|0|-92.598888888889|0
Rookery Bay National Estuarine Research Reserve|7|National Water Information System|255432081303900|surface|TRUE|22.95|718|2007|2019|0.0386|0.3429|0.0250000000000004|-240.426666666667|0
Rookery Bay National Estuarine Research Reserve|7|National Water Information System|255534081324000|surface|TRUE|24.3|653|2008|2019|0.0321|0.5943|0.0200000000000003|-175.900000000001|0
Rookery Bay National Estuarine Research Reserve|7|National Water Information System|255654081350200|surface|TRUE|22.8|643|2008|2019|0.0265|0.8005|0|-110.341666666669|0
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|bottom|TRUE|26.8333333333333|6989|2002|2022|0.0776|0|0.0375578703703704|-32.9927546296299|1
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|bottom|TRUE|26.8947916666667|7084|2002|2022|0.1283|0|0.0610677083333333|-92.5501844618057|1
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkblhwq|bottom|TRUE|26.7197916666667|7321|2001|2022|0.0993|0|0.0451388888888893|-61.4456539351849|1
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbmbwq|bottom|TRUE|26.703125|7734|2000|2022|0.0872|0|0.0374999999999999|-41.4436708257019|1
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbpbwq|bottom|TRUE|27.19375|2110|2016|2022|0.0378|0.008|0.0583333333333326|-65.6595844414901|1
Rookery Bay National Estuarine Research Reserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbuhwq|bottom|TRUE|26.7541666666667|1443|1996|2000|-0.0323|0.0938|-0.0687500000000014|353.253038194444|0
