AreaID|ManagedAreaName|Month|ParameterName|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
1|Alligator Harbor Aquatic Preserve||Percent Cover|0||||||""|""
2|Apalachicola Bay Aquatic Preserve||Percent Cover|0||||||""|""
3|Apalachicola National Estuarine Research Reserve||Percent Cover|0||||||""|""
4|Banana River Aquatic Preserve||Percent Cover|0||||||""|""
5|Big Bend Seagrasses Aquatic Preserve||Percent Cover|0||||||""|""
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve||Percent Cover|0||||||""|""
6|Biscayne Bay Aquatic Preserve||Percent Cover|0||||||""|""
8|Boca Ciega Bay Aquatic Preserve||Percent Cover|0||||||""|""
9|Cape Haze Aquatic Preserve||Percent Cover|0||||||""|""
10|Cape Romano-Ten Thousand Islands Aquatic Preserve||Percent Cover|0||||||""|""
11|Cockroach Bay Aquatic Preserve||Percent Cover|0||||||""|""
13|Coupon Bight Aquatic Preserve|5|Percent Cover|3|1|2|2|1.66666666666667|0.577350269189626|National Coral Reef Monitoring Program (NCRMP)|3022
13|Coupon Bight Aquatic Preserve|6|Percent Cover|2|1|3|2|2|1.4142135623731|National Coral Reef Monitoring Program (NCRMP)|3022
13|Coupon Bight Aquatic Preserve|12|Percent Cover|96|0|7|0|0.0833333333333333|0.720623511699442|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM)|169
14|Estero Bay Aquatic Preserve||Percent Cover|0||||||""|""
15|Florida Keys National Marine Sanctuary|4|Percent Cover|26|1|4|1|1.69230769230769|0.884046639911301|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|5|Percent Cover|282|1|26|2|2.97163120567376|3.14295973665132|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|6|Percent Cover|702|1|33|1|2.55413105413105|2.88125503145188|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|7|Percent Cover|374|1|39|1.5|2.82620320855615|3.56393282500045|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|8|Percent Cover|649|1|27|2|3.12018489984592|3.26943986070953|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|9|Percent Cover|358|1|35|2|2.94413407821229|3.93180049473928|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|10|Percent Cover|166|1|28|2|4.15060240963855|5.08904643074684|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|11|Percent Cover|153|1|16|2|2.94771241830065|3.03009216828987|National Coral Reef Monitoring Program (NCRMP)|3022
15|Florida Keys National Marine Sanctuary|12|Percent Cover|57085|0|31|0|0.111815713409827|0.793994171779619|Abundance, Distribution, and Condition of Acropora Corals, Other Benthic Coral Reef Organisms, and Marine Debris (SCREAM), National Coral Reef Monitoring Program (NCRMP)|169, 3022
16|Fort Clinch State Park Aquatic Preserve||Percent Cover|0||||||""|""
17|Fort Pickens State Park Aquatic Preserve||Percent Cover|0||||||""|""
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve||Percent Cover|0||||||""|""
19|Guana River Marsh Aquatic Preserve||Percent Cover|0||||||""|""
20|Guana Tolomato Matanzas National Estuarine Research Reserve||Percent Cover|0||||||""|""
21|Indian River-Malabar to Vero Beach Aquatic Preserve||Percent Cover|0||||||""|""
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve||Percent Cover|0||||||""|""
23|Jensen Beach to Jupiter Inlet Aquatic Preserve||Percent Cover|0||||||""|""
25|Lemon Bay Aquatic Preserve||Percent Cover|0||||||""|""
26|Lignumvitae Key Aquatic Preserve||Percent Cover|0||||||""|""
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve||Percent Cover|0||||||""|""
28|Matlacha Pass Aquatic Preserve||Percent Cover|0||||||""|""
29|Mosquito Lagoon Aquatic Preserve||Percent Cover|0||||||""|""
30|Nassau River-St. Johns River Marshes Aquatic Preserve||Percent Cover|0||||||""|""
48|Nature Coast Aquatic Preserve||Percent Cover|0||||||""|""
31|North Fork St. Lucie Aquatic Preserve||Percent Cover|0||||||""|""
33|Pellicer Creek Aquatic Preserve||Percent Cover|0||||||""|""
34|Pine Island Sound Aquatic Preserve||Percent Cover|0||||||""|""
35|Pinellas County Aquatic Preserve||Percent Cover|0||||||""|""
37|Rocky Bayou State Park Aquatic Preserve||Percent Cover|0||||||""|""
38|Rookery Bay Aquatic Preserve||Percent Cover|0||||||""|""
39|Rookery Bay National Estuarine Research Reserve||Percent Cover|0||||||""|""
12|Southeast Florida Coral Reef Ecosystem Conservation Area|1|Percent Cover|10|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|2|Percent Cover|4|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|3|Percent Cover|7|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|4|Percent Cover|62|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|5|Percent Cover|3|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|6|Percent Cover|62|0|7|0|0.258064516129032|1.00711377694075|National Coral Reef Monitoring Program (NCRMP), Palm Beach County Artificial and Natural Reef Monitoring Program|3022, 3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|7|Percent Cover|39|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|8|Percent Cover|66|0|15|0|1.06060606060606|3.23385356159008|National Coral Reef Monitoring Program (NCRMP), Palm Beach County Artificial and Natural Reef Monitoring Program|3022, 3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|9|Percent Cover|164|0|24|1|2.23780487804878|3.04538835682782|National Coral Reef Monitoring Program (NCRMP), Palm Beach County Artificial and Natural Reef Monitoring Program|3022, 3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|10|Percent Cover|154|0|20|1|2.13636363636364|2.95957111761783|National Coral Reef Monitoring Program (NCRMP), Palm Beach County Artificial and Natural Reef Monitoring Program|3022, 3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|11|Percent Cover|29|0|5|1|1.27586206896552|1.25061561195557|National Coral Reef Monitoring Program (NCRMP), Palm Beach County Artificial and Natural Reef Monitoring Program|3022, 3024
12|Southeast Florida Coral Reef Ecosystem Conservation Area|12|Percent Cover|16|0|0|0|0|0|Palm Beach County Artificial and Natural Reef Monitoring Program|3024
40|St. Andrews State Park Aquatic Preserve||Percent Cover|0||||||""|""
41|St. Joseph Bay Aquatic Preserve||Percent Cover|0||||||""|""
42|St. Joseph Bay State Buffer Preserve||Percent Cover|0||||||""|""
43|St. Martins Marsh Aquatic Preserve||Percent Cover|0||||||""|""
44|Terra Ceia Aquatic Preserve||Percent Cover|0||||||""|""
45|Tomoka Marsh Aquatic Preserve||Percent Cover|0||||||""|""
47|Yellow River Marsh Aquatic Preserve||Percent Cover|0||||||""|""
